,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,ICL_noscaling,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
9_census,0.1415672363753627,0.1025475653015156,0.2092873266688165,0.2150919058368268,0.0967429861335053,0.0,0.0,0.0322476620445017,0.1109319574330861,0.2218639148661722,0.1383424701709126,0.1267333118348919,0.3157046114156723,0.2099322799097065,0.1805869074492099,0.1773621412447597,0.2405675588519832,,,0.1741373750403095,0.1696227023540793,0.1892937762012254,0.2428248951950983,0.0022573363431151,0.18187681393099,0.1986455981941309,0.0641728474685585,0.1773621412447597,0.1867139632376652,0.1841341502741051,0.1676878426314092,0.1709126088358594,0.1576910673976136,0.2215414382457272,0.2221863914866172,0.1728474685585295,0.1776846178652047,0.1892937762012254,0.1757497581425346,0.1786520477265398,0.1705901322154144,0.2457271847791035,0.2225088681070622,0.2457271847791035,,0.2031602708803611,0.218316672041277
43_WDBC,0.6956521739130435,0.782608695652174,0.8260869565217391,0.7391304347826085,0.0,0.782608695652174,0.6521739130434783,0.9130434782608696,0.6521739130434783,0.782608695652174,0.6086956521739131,0.9130434782608696,0.4782608695652174,0.782608695652174,0.1739130434782608,0.0,0.782608695652174,,,0.7391304347826085,1.0,0.7391304347826085,0.782608695652174,0.5652173913043478,0.9130434782608696,0.9130434782608696,0.7391304347826085,1.0,0.9130434782608696,0.782608695652174,0.9130434782608696,0.782608695652174,0.9130434782608696,0.6521739130434783,0.6521739130434783,0.7391304347826085,0.8260869565217391,0.6521739130434783,0.0,0.6521739130434783,0.6521739130434783,1.0,0.6521739130434783,0.9130434782608696,,0.6521739130434783,0.6521739130434783
46_WPBC,0.5296610169491526,0.3813559322033898,0.3686440677966102,0.4576271186440678,0.1822033898305084,0.4025423728813559,0.3644067796610169,0.3432203389830508,0.5042372881355932,0.4576271186440678,0.4110169491525423,0.3855932203389831,0.4703389830508475,0.3855932203389831,0.1483050847457627,0.2923728813559322,0.6822033898305084,,,0.3601694915254237,0.3559322033898305,0.326271186440678,0.3389830508474576,0.6822033898305084,0.3771186440677966,0.4110169491525423,0.326271186440678,0.3559322033898305,0.4915254237288136,0.4576271186440678,0.559322033898305,0.4194915254237288,0.4915254237288136,0.6483050847457628,0.690677966101695,0.6228813559322034,0.559322033898305,0.6567796610169492,0.2923728813559322,0.6991525423728814,0.690677966101695,0.9110169491525424,0.6949152542372882,0.9110169491525424,,0.6228813559322034,0.6694915254237288
19_landsat,0.4471117779444861,0.436609152288072,0.3855963990997749,0.3833458364591148,0.3915978994748688,0.3383345836459114,0.3075768942235559,0.5393848462115529,0.5213803450862715,0.5146286571642911,0.2993248312078019,0.536384096024006,0.5468867216804201,0.3398349587396849,0.374343585896474,0.3638409602400601,0.4253563390847712,,,0.3120780195048762,0.309827456864216,0.2970742685671418,0.2400600150037509,0.5446361590397599,0.296324081020255,0.3188297074268567,0.31807951987997,0.3090772693173293,0.3345836459114779,0.3083270817704426,0.3413353338334584,0.3188297074268567,0.3218304576144036,0.2220555138784696,0.1897974493623405,0.2693173293323331,0.3255813953488372,0.3608402100525131,0.390847711927982,0.3383345836459114,0.3353338334583646,0.536384096024006,0.3450862715678919,0.5521380345086272,,0.3090772693173293,0.31282820705176295
27_PageBlocks,0.6039215686274509,0.4352941176470588,0.5568627450980392,0.6509803921568628,0.307843137254902,0.3666666666666666,0.492156862745098,0.6274509803921569,0.1235294117647058,0.5901960784313726,0.4647058823529412,0.6588235294117647,0.5764705882352941,0.4686274509803921,0.4372549019607843,0.4098039215686274,0.6,,,0.696078431372549,0.6509803921568628,0.5941176470588235,0.6137254901960785,0.6058823529411764,0.6431372549019608,0.5784313725490197,0.7450980392156863,0.6509803921568628,0.6235294117647059,0.6392156862745098,0.5431372549019607,0.6490196078431373,0.6294117647058823,0.6313725490196078,0.6607843137254902,0.6333333333333333,0.6431372549019608,0.6450980392156863,0.4058823529411764,0.6333333333333333,0.596078431372549,0.6372549019607843,0.6392156862745098,0.6333333333333333,,0.6568627450980392,0.6078431372549019
45_wine,0.9178082191780822,0.7671232876712328,0.7808219178082192,0.7808219178082192,0.1506849315068493,0.6027397260273972,0.3972602739726026,0.7808219178082192,0.7808219178082192,0.821917808219178,0.6301369863013698,0.7808219178082192,0.7397260273972603,0.6712328767123288,0.0,0.0,0.7671232876712328,,,0.7671232876712328,0.6575342465753424,0.6986301369863014,0.6712328767123288,0.8767123287671232,0.6575342465753424,0.7945205479452053,0.0684931506849315,0.6575342465753424,1.0,1.0,1.0,0.8767123287671232,1.0,1.0,1.0,1.0,1.0,0.9726027397260274,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
42_WBC,0.5,0.8478260869565218,0.8478260869565218,0.8478260869565218,0.1304347826086956,0.8478260869565218,0.8478260869565218,0.0,0.8478260869565218,0.8478260869565218,0.8478260869565218,0.1739130434782608,0.8695652173913043,0.8478260869565218,0.2826086956521739,0.0,0.5652173913043478,,,0.6956521739130435,0.6956521739130435,0.8478260869565218,0.8478260869565218,0.6956521739130435,0.6956521739130435,0.5,0.5652173913043478,0.6956521739130435,0.7391304347826085,0.5217391304347826,0.7608695652173914,0.5217391304347826,0.5434782608695652,0.3478260869565217,0.3478260869565217,0.3478260869565217,0.5652173913043478,0.391304347826087,0.0,0.3478260869565217,0.5,0.9347826086956522,0.3478260869565217,0.9565217391304348,,0.3478260869565217,0.4782608695652174
17_InternetAds,0.6983695652173914,0.2146739130434783,0.4619565217391304,0.4565217391304347,0.1929347826086956,0.5,0.5,0.5625,0.2717391304347826,0.5190217391304348,0.3831521739130435,0.5461956521739131,0.3342391304347826,0.4565217391304347,0.3695652173913042,0.3260869565217391,0.4918478260869565,,,0.720108695652174,0.6711956521739131,0.3804347826086957,0.5842391304347826,0.4184782608695652,0.6793478260869565,0.6983695652173914,0.5135869565217391,0.6820652173913043,0.6983695652173914,0.7065217391304348,0.6956521739130435,0.720108695652174,0.7065217391304348,0.5597826086956522,0.5842391304347826,0.657608695652174,0.7010869565217391,0.595108695652174,0.3423913043478261,0.6277173913043478,0.6304347826086957,0.5570652173913043,0.6385869565217391,0.5570652173913043,,0.6114130434782609,0.6304347826086957
6_cardio,0.5511363636363636,0.6420454545454546,0.7045454545454546,0.7386363636363636,0.2954545454545454,0.7045454545454546,0.7386363636363636,0.5909090909090909,0.5625,0.6193181818181818,0.6363636363636364,0.625,0.5909090909090909,0.7613636363636364,0.4375,0.4772727272727273,0.3409090909090909,,,0.6704545454545454,0.7329545454545454,0.8181818181818182,0.7556818181818182,0.6022727272727273,0.7329545454545454,0.6420454545454546,0.3977272727272727,0.7329545454545454,0.6590909090909091,0.6477272727272727,0.5681818181818182,0.6590909090909091,0.6534090909090909,0.5795454545454546,0.5795454545454546,0.5909090909090909,0.6590909090909091,0.5852272727272727,0.4715909090909091,0.5795454545454546,0.5909090909090909,0.4659090909090909,0.5965909090909091,0.5284090909090909,,0.5795454545454546,0.5795454545454546
23_mammography,0.0769230769230769,0.4192307692307693,0.4192307692307693,0.4923076923076923,0.173076923076923,0.5269230769230769,0.5307692307692308,0.4038461538461538,0.1692307692307692,0.4038461538461538,0.45,0.3846153846153846,0.0192307692307692,0.4461538461538462,0.1923076923076923,0.4384615384615384,0.2461538461538461,,,0.0269230769230769,0.2807692307692307,0.4115384615384615,0.4307692307692307,0.3461538461538461,0.2807692307692307,0.2923076923076923,0.3269230769230769,0.2807692307692307,0.3153846153846154,0.3384615384615385,0.35,0.3576923076923077,0.2769230769230769,0.3538461538461538,0.3192307692307692,0.3153846153846154,0.3153846153846154,0.2653846153846154,0.4307692307692307,0.3615384615384615,0.3538461538461538,0.1923076923076923,0.4346153846153846,0.2307692307692307,,0.4192307692307693,0.40384615384615385
