,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
letter,0.08212119229063032,0.0825570520794348,0.08312600137411227,,0.0884615744869789,0.106538546871103,0.11775014558123928,0.0873080222132282,0.0869813749622241,0.08076318771562377,0.1125529610187776,0.08075589219192394,0.0801026827954405,,,0.08970841713118673,0.10517532994149037,0.08901352891398648,,0.089687449520491,0.09125337230744,0.1284820088969622,0.08985270915210496,0.13088222263173846,
lymphography,0.9348132169117961,1.0,0.9822855057473798,,0.9355916083407989,0.9425850289410889,0.7491751572617188,0.9647102242935585,0.9896678991603804,0.25854983362160405,0.8516266306668208,0.8798579323243381,0.9851992586611328,,,0.9605330628858458,0.7376314915259918,0.7538669032260591,,0.722645717183189,0.7590765191164314,1.0,0.8634364233735956,1.0,
magic.gamma,0.8010547065646301,0.791572065629601,0.8023993578700551,0.6447348753381459,0.722188411448084,0.6791812128140083,0.8670210032847531,0.7715374592267883,0.8586450188709244,0.7588161975140124,0.8636261142812927,0.7720634930197445,0.7520315855141062,0.7693372023823906,0.5174564201704364,0.693259203767097,0.6954622538596779,0.8873433619909881,0.5202540368421076,0.8956969828350194,0.8993208538127411,0.8132889721474519,0.8925527487126004,0.8499964780074419,0.902696273461392
mammography,0.3919511868657929,0.4052025431883245,0.4105583723882465,0.109573046600948,0.546287905300756,0.5519788753748127,0.2923351134493323,0.2132132585189426,0.4127379631025207,0.4262694965123932,0.3407319687082995,0.08033911550637213,0.4165024950913474,0.1637936591101196,0.27730612179913183,0.23489304954576384,0.4158198287787331,0.31387384478414776,0.3216027049557363,0.37560759113042697,0.43513547621040694,0.18572704531470505,0.4326392897813484,0.2380367472385556,0.4199828919340962
mnist,0.5359127526112153,0.6620157786382563,0.6651418181827538,0.324328384981029,0.1686340640809443,0.1686340640809443,0.6967346179131181,0.2220883413170798,0.7271850311633586,0.3437465019365869,0.7097347376401963,0.5693200947656282,0.6498708132676647,0.400102033649447,0.3602849895216241,0.4296914333446297,0.4835092674674992,0.6086490097363009,0.3707501204460222,0.5346766826577718,0.5430695938123056,0.6876605411384062,0.5679993904696197,0.6876605411384062,0.5512227322802382
musk,0.46787957269045016,1.0,1.0,0.1739866401347695,0.9612923531875012,0.981979010777789,1.0,1.0,1.0,0.8940996315575501,1.0,0.6755666078404723,1.0,0.1457093975558042,0.8641127966326245,1.0,0.5755065259371761,1.0,0.8619218370660793,1.0,1.0,0.9292641943636251,1.0,0.9292641943636251,1.0
optdigits,0.16227864692870894,0.0692143858176951,0.1379149525924058,0.0609134198643046,0.0559075661572866,0.0559075661572866,0.4114461044668559,0.4238072305633713,0.2911098729719137,0.03960234262860302,0.436265670730745,0.07110181545446068,0.0602197027858401,0.0473224534194382,0.03918216152383047,0.0845554401881936,0.06189426676883959,0.15602124428914743,0.0396622208806921,0.1536869055076855,0.21385931817682896,0.5189832706856929,0.17459002944471833,0.3880071482002721,0.1696221904993147
pageblocks,0.4332123531882123,0.6425402043132474,0.7062651328427219,0.2767853032948111,0.4151417299540282,0.585416733094317,0.7056323760354227,0.2248261482803519,0.6760167049896698,0.47124007167752274,0.7107351290459117,0.6317352248291295,0.5935259442472628,0.4418115287483593,0.3860500953389691,0.5234693131919136,0.4457721049686797,0.6687238220393291,0.3522211871499593,0.6618420926846599,0.6250377725723578,0.679169930825235,0.6530966028084496,0.7084003413050441,0.6588749144418629
pendigits,0.5884438358790453,0.5177817899536089,0.5143324507760754,,0.3085971850558995,0.4144841384504422,0.847979821480505,0.4233351234040988,0.9699016482203489,0.3822690719156125,0.7855157050100986,0.13193337002467403,0.3863421347985567,,,0.0774342136914733,0.1458921944996146,0.5087732500759495,,0.4989483382168591,0.557333228542084,0.641296659330852,0.5140217019604116,0.8350157185144838,
pima,0.7366675264795768,0.7180761528632597,0.7218282856633003,0.5038374085879096,0.6857316531611248,0.6444671217785151,0.6892940360790708,0.7589929194679809,0.7496016460044588,0.5854021981213682,0.6775331587387315,0.6887034458001005,0.7127847859721747,0.5295495323446762,0.421251364466261,0.5907898658490462,0.6228731835775735,0.6808443241726896,0.4215295154129253,0.6704341927154366,0.6953873107084058,0.7849540360541063,0.6862834497759711,0.8077618546841403,0.6845071124615543
