,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,diffusion_420_bins_7,ICL_bagging,ICL,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
31_satimage-2,0.7008189880515293,0.9540728824801088,0.9692488527508224,0.967602735293925,0.1055274683243291,0.8527119710673836,0.796596721114712,0.9137395283176004,0.8768416663431468,0.96687219172961,0.95657466853592,0.8846217216219329,0.9830975390040242,0.919214111289047,0.2009083455680702,0.2029332943099951,0.673991900483438,0.0598214840285461,0.8656733700644207,,0.9409941659509536,0.965677975847478,0.9747301316973296,0.9760335295412867,0.8900478115543791,0.9653732915260348,0.8934685927982339,0.9572280194097642,0.9653732915260348,0.9654600590512512,0.9674721949001118,0.8607076480897796,0.9689613727710849,0.9656496133306544,0.6952043124003905,0.7906982488168096,0.6308347837990725,0.0166514644054495,0.9585548454902778,0.7275062451781573,0.2302263194632563,0.6042689141018636,0.7770818292498266,0.6601484071477063,0.9615771884649416,0.95919215036885,0.7822897150945913,0.7337888166143565
43_WDBC,0.8628012927173426,0.919551966285146,0.9846801346801346,0.9801655876655876,0.0715922790765153,0.9351837855083291,0.659869727531114,1.0,0.9134520587134968,0.9517432259098926,0.7791567471693032,1.0,0.6614653516358822,0.9049757022590068,0.1805881198649778,0.0389711952979463,0.9058768347803317,0.4143409635112297,,,0.9677800435912391,0.996996996996997,0.8504181998101334,0.9525666550666552,0.9827327327327328,0.996911196911197,0.9794563369563368,0.9454635771357188,0.996911196911197,0.94555867754925,0.900836046970806,0.9400916967004668,0.9356851502392532,0.9298940949460728,0.9147246666455796,0.8793364114855343,0.9128396289674128,0.8877742763772177,0.9311161605421018,0.922695430725602,0.0392845404004789,0.9226122027516398,0.9417837865643328,0.928159248757329,0.7015161028867168,0.9657866379310348,0.8999789159495667,0.9014723451642958
46_WPBC,0.5362154002657615,0.4547082491546992,0.4580241318366649,0.4946502821917288,0.2835879344825216,0.4247959182465685,0.3840556501553914,0.4240508076414722,0.4703003389215045,0.4930470690182064,0.4060124874019983,0.426874902799777,0.4726249550555367,0.4487150183833448,0.262990532854051,0.4026269945725362,0.6787210909336968,0.408843542184275,,,0.4697518214303119,0.4827566161957827,0.466368479227663,0.4568422132813995,0.3818770226537217,0.4828916731024075,0.514080622349483,0.3729355708117822,0.4824660165744617,0.5637406666518654,0.5424768318867773,0.610329365426543,0.515207794987322,0.5360560634561173,0.5828751395692753,0.5847629561263088,0.6035658285330154,0.4040988864865427,0.5785821960137638,0.5928814635620466,0.401462115084168,0.6341177081639816,0.6433326493712805,0.631750060028796,0.4491630680134302,0.7850296493917288,0.6037932143714315,0.6216817914368876
19_landsat,0.4053534470788131,0.4687245939392215,0.3700923816368814,0.3727834070652938,0.3793244540319852,0.3382256472806171,0.3109210286186628,0.6210486040975294,0.6011954419175513,0.548471358455096,0.3435323383993715,0.6136872080638885,0.4296780363288512,0.3272128030043703,0.3669282937509192,0.3524489041653521,0.4844933168741531,0.333570666497561,,,0.3399953586185495,0.3105558312452803,0.3367493738400399,0.2773709782121462,0.3432028836251287,0.3105936801082321,0.3282274331771251,0.3583324969227722,0.3103338115208245,0.3399730136370987,0.3263460538717133,0.3334969060025752,0.3135214442281585,0.3166038712225034,0.3755062786230739,0.3474501129333859,0.3498413252395779,0.3225518437849963,0.3619742720259875,0.3306685952870489,0.3770602098317136,0.3374400863372976,0.3268440406549716,0.3251338813241546,0.3200662841223827,0.52940410273922,0.4319954549687222,0.32561672455512625
27_PageBlocks,0.5830839372560727,0.4523896461193649,0.6425402043132474,0.7075266961823535,0.2767853032948111,0.4151417299540282,0.585416733094317,0.7141584894776146,0.2248261482803519,0.6760167049896698,0.4382600453499847,0.7107351290459117,0.6322035459185138,0.5935259442472628,0.4418115287483593,0.3495704745648455,0.5597291672055076,0.378396945963636,,,0.6797631772097419,0.6675199805452744,0.6209098872760458,0.6782955235663295,0.6818862165717811,0.667511520201884,0.6029150294126837,0.8239090751531795,0.6675865388209092,0.6525547150730194,0.6480672460535207,0.5869809451148739,0.667211254163039,0.6426698160541459,0.6181448211963677,0.6357951486441197,0.6737551271809379,0.1249608643509307,0.6847445583471089,0.6310537764738539,0.3370343445413316,0.6420612763738867,0.6430639032155638,0.6535178753989487,0.2305913949320782,0.687529340204823,0.680618420820342,0.6555080771003896
45_wine,0.9890853711858776,0.7519521199644991,0.903833473218084,0.9119736786839238,0.1283241542094158,0.5637342101057595,0.3335407123076308,0.9396028261857732,0.844820361189384,0.9617203555503256,0.4907884069541428,0.9210120136654502,0.8652366950871578,0.7475931164082995,0.0958846267662982,0.096300729190316,0.988712429096125,0.4386261523920438,,,0.9292676345875568,0.8314929356410585,0.7078944278607551,0.8100339314750638,0.7541035353535352,0.8302554990907386,0.9459269597862592,0.1703787023561826,0.8308556260264005,0.9974042753112522,0.98924225647886,1.0,0.99040971733781,0.9974025974025976,0.9767518454333364,0.9811657998744,0.9903112574766644,0.4762995580620042,0.990472456534834,0.9903858478123182,0.0961380167681048,0.9981970871505752,0.9904461467458384,0.990310881622536,0.7206554455084953,1.0,0.987896685849336,0.9905429286983293
42_WBC,0.2065685864838078,0.9424338880537516,0.951100269985719,0.9037791719706614,0.0976379705811759,0.9357592271745472,0.9358058775135952,0.1810816868106456,0.8847609527449694,0.8075119699240001,0.6692067664467408,0.293222025790577,0.8867859977602726,0.9128750955402692,0.3743089671258052,0.0581523189849307,0.5536610472624682,0.4320033770249488,,,0.59356164397148,0.6080375404319525,0.9146541719056338,0.8486959626648654,0.8396417553069024,0.6090739410351054,0.4343870287171655,0.4773778731195032,0.6088457092279262,0.5984623427190547,0.556094775560034,0.4451702010914188,0.4947485747825131,0.5060830011239174,0.3579041834024251,0.4207623558493129,0.5028905700701201,0.0577674656314299,0.5638117667887095,0.501575657286486,0.0581810250484104,0.3629512431241429,0.4313064322302263,0.4807311103763461,0.8227912158334172,0.94667573775555,0.3489993388322365,0.3976580560581323
17_InternetAds,0.7019486951995341,0.276896969358185,0.4814722493540307,0.4706367790997644,0.2432213884765376,0.6174147411587243,0.6186543520793,0.4851125245229977,0.3079412590545833,0.4922298366456591,0.3959018857989121,0.5043249497386781,0.3435429461274852,0.469654728776442,0.3540028978374328,0.3343014150206578,0.4559272146329426,0.2995147616773635,,,0.7439929836061101,0.7025516944154941,0.4059516855379104,0.6025856465065944,0.4455730039864387,0.7069751436200661,0.7079191170179351,0.5661398113267639,0.7064972733193554,0.6993773336474711,0.6834602975044324,0.6843587014968118,0.7144235029338333,0.7143198993963329,0.5294632845220748,0.5977822068557589,0.5792534189474663,0.4669057404913013,0.7450197086307351,0.5816388456470756,0.3408530788265472,0.5563170155804708,0.63175875303864,0.5726337658701588,0.5505800503858215,0.5806279313354867,0.5267904320484698,0.5974948415427831
6_cardio,0.6262155602281971,0.7566707974291512,0.8359468459874632,0.8302557887607821,0.2641185325312063,0.748809572727359,0.7855478323833374,0.7640996594797523,0.5887270423759969,0.7721500992771263,0.6979824114390776,0.7015451376898001,0.6736727461565253,0.8628404059553183,0.4043093133060786,0.6865676383713234,0.354079481263169,0.6855592978223252,,,0.7880429430043425,0.8596184097401243,0.8687331151080792,0.8601267019999838,0.7205648979729296,0.859601131030804,0.7579922099466865,0.3593009953530286,0.8597313165066145,0.7345754891023001,0.7790620069970239,0.6843513017222118,0.785551771132005,0.7547284370691797,0.4538749215178028,0.5156837438458658,0.710149135962611,0.1420759889788297,0.7213590689291017,0.7128212678205906,0.6888832936248559,0.6808058937042207,0.6645652157474953,0.6564574606027717,0.3953151288077501,0.5964996865924302,0.699130117906958,0.6930921135856634
23_mammography,0.0806741324220389,0.3371142505178265,0.4052025431883245,0.2823715151325076,0.109573046600948,0.546287905300756,0.5519788753748127,0.319505151824743,0.2132132585189426,0.4127379631025207,0.540033219329346,0.3407319687082995,0.0773523386955309,0.4165024950913474,0.1637936591101196,0.2412460632033665,0.0756414999536887,0.4050996259141366,,,0.0386072559267868,0.2626970149802889,0.3580866574101009,0.4008624970052113,0.3489285564084252,0.2631318929493395,0.307408329012407,0.3064184031987007,0.2611959938835268,0.35831033325097,0.3643723587809903,0.344096906385302,0.3891028388259642,0.3698507591873496,0.3473210490653158,0.4330448020311055,0.3424625501600338,0.0293172334669549,0.4499040146728148,0.3954753138972218,0.2824296079305759,0.3973399247149749,0.3879137040311555,0.3749254290094835,0.0366636907174202,0.1573829122266064,0.3858858358739299,0.4026149289227722
