,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
cover,0.014536407347503656,0.011580280582114431,0.007560491494076059,0.0010622165513940191,0.00715026008933073,0.013590901567639676,0.152289646865027,0.0022009784092080647,0.04291627118460675,0.1026262804876243,0.0223239438433199,0.0017312289591218488,0.009911157011696843,0.0032683815316911498,0.005288793844317426,0.007313851148209215,0.05692866454614625,0.07968318871733097,0.00536016926725991,0.07281060183168163,0.05285388934208579,0.17919072652674242,0.06362763810441811,0.04853611577790615,0.040818497050981346
donors,0.026427325316372565,0.009865125002461504,0.011899138276239942,,0.009253981478347696,0.0112119074466393,0.10770732863495015,0.02042524915200943,0.010547773663380286,0.2259407310541744,0.014799245821346509,0.12954799231434141,0.011862976730752286,,,0.20804605917837038,0.17698366592347484,0.00821912601043671,,0.09418913338182527,0.025835162008511738,0.009859767566258724,0.022318387962321603,0.01065175738614986,
fault,0.01263875149068696,0.0,0.014833644212577237,0.0,0.0,0.0,0.0060123158562149035,0.0,0.0,0.0293837116541161,0.0,0.06670345908206493,0.0,0.0,0.03110083409935049,0.017390219421983003,0.060202106029005026,0.015365086905967955,0.031841170800965685,0.01926309748327129,0.017395311937631896,0.007572674076445105,0.010804394751411497,0.015840626979430027,0.010995545364627832
fraud,0.04071097846016465,0.05651779888360476,0.024655590323549907,,0.028881502085064934,0.042722581034865134,0.034643747730651285,0.05251865574421213,0.06128502599968868,0.17110013788956058,0.03074185580722772,0.02820732604049625,0.021423800096165034,,,0.22738740246717354,0.07465293426667431,0.19529103541510065,,0.05067792490753584,0.031433525450694666,0.1012397608687328,0.049159677274351735,0.09765709343178587,
glass,0.026236925453760853,0.05456174545035934,0.011837215133303287,,0.03553471559526492,0.03326632532835787,0.08373658227575723,0.03414608052606601,0.08189406081366243,0.023438228464840064,0.0859977389060408,0.029604162911881986,0.0477182074550296,,,0.10367625947838043,0.07348227787187077,0.08903039333443251,,0.09687160602100067,0.10063699747455934,0.09376873785722656,0.08539682074414166,0.050737051234528374,
hepatitis,0.07021674234469068,0.03994364934359214,0.07563152226081876,,0.03945390594003703,0.031230870996110643,0.10972720196851475,0.06854402036823065,0.049905391233263215,0.05120666700926941,0.12148969587278843,0.08012441301605269,0.05588229935939642,,,0.011424754684754226,0.0988679871173824,0.07999406915288083,,0.04122528234285386,0.010532734617084018,0.004227418689074595,0.013712602651864185,0.007884193285988994,
http,0.10527349639436785,0.0028811519013768904,0.015758812458140193,,0.023822051212833546,0.008914428583837113,0.009542222187338798,0.11380019583470684,0.0,0.10420819944441526,0.041555940229511916,0.014833141278239557,0.01326453911982365,,,0.41419915087563375,0.2271517348691281,0.0834402206927766,,0.09016545619267725,0.05541166759117581,0.2714734141114263,0.05463534480185086,0.04879543761903185,
imdb,0.001910483130086339,0.0,3.71386255905106e-05,,0.0,0.0,0.00024964548502795665,0.0,0.0,0.004387784771170182,0.0,0.0002036970739003327,0.0,,,0.004634001252626878,,0.012143329103829594,,0.003901943913630688,0.011519936943562799,0.0011458457135127033,0.01060603750144322,0.0011791047835805564,
internetads,0.018681960031852764,0.0,0.0008499801334678394,0.0,0.0,0.0,0.0075217291797437785,0.0,0.0,0.022631137036541453,0.0,0.0,0.0,0.0,0.022065530437377145,0.054504958098353394,0.054822752665745794,0.025999944198978872,0.028468078697428123,0.03753091339858198,0.040960020109247444,0.01158218432591332,0.03638567902360574,0.01158218432591332,0.031973397042946564
ionosphere,0.01829613089953803,0.005935967790682441,0.011775035716387125,,0.03446358205882496,0.019688834906799603,0.016023882320124555,0.01888701746636745,0.007723453714406835,0.0341749167405084,0.017966972444675045,0.001983403965324398,0.013892676592121778,,,0.008272129664945779,0.09054795988838454,0.005332680253977116,,0.003895614432701267,0.00489429145365194,0.0029719627859731332,0.002091363350347515,0.004631038266309348,
landsat,0.03758240476860677,0.0,0.002812826192148538,0.0,0.0,0.0,0.0011352679459634336,0.0,0.0,0.06461608294770335,0.0,0.04759510703582045,0.0,0.0,0.005345805620887329,0.02560743461627499,0.05837687942634181,0.017050995660426678,0.034337820887736195,0.009875544283695085,0.020645318988044635,0.016799614187068355,0.01915471157503718,0.0153730983656944,0.01912401246608103
letter,0.002892126071126293,0.0,0.0007270612682279609,,0.0,0.0,0.005207915973411463,0.0,0.0,0.0026333287944125794,0.0,0.004686786113559693,0.0,,,0.005959396818164884,0.030739885616835275,0.00045111627168931226,,0.0008904260845329441,0.002262341652649031,0.013447079442484808,0.0007285325023004415,0.004404805715092598,
