,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
17_InternetAds,0.6983695652173914,0.2798913043478261,0.4619565217391304,0.4619565217391304,0.1929347826086956,0.5,0.5,0.5706521739130435,0.2717391304347826,0.5190217391304348,0.453804347826087,0.5461956521739131,0.3342391304347826,0.4565217391304347,0.3695652173913042,0.3315217391304347,0.5027173913043478,,,0.7445652173913043,0.6739130434782609,0.3967391304347826,0.5869565217391305,0.4184782608695652,0.7010869565217391,0.6983695652173914,0.4972826086956521,0.7010869565217391,0.717391304347826,0.7065217391304348,0.6983695652173914,0.720108695652174,0.720108695652174,0.5896739130434783,0.6195652173913043,0.7119565217391305,0.1929347826086956,0.7119565217391305,0.6032608695652174,0.328804347826087,0.6195652173913043,0.654891304347826,0.5597826086956522,0.6413043478260869,0.5597826086956522,0.625,0.6657608695652174
6_cardio,0.4886363636363636,0.6988636363636364,0.7045454545454546,0.6477272727272727,0.2954545454545454,0.7045454545454546,0.7386363636363636,0.6193181818181818,0.5625,0.6193181818181818,0.6022727272727273,0.625,0.5909090909090909,0.7613636363636364,0.4375,0.5056818181818182,0.375,,,0.6818181818181818,0.7443181818181818,0.7443181818181818,0.7556818181818182,0.6363636363636364,0.7443181818181818,0.625,0.3806818181818182,0.7443181818181818,0.6477272727272727,0.6534090909090909,0.5738636363636364,0.6931818181818182,0.6761363636363636,0.5738636363636364,0.5852272727272727,0.5909090909090909,0.096590909090909,0.6477272727272727,0.5909090909090909,0.5056818181818182,0.5909090909090909,0.5909090909090909,0.5568181818181818,0.5909090909090909,0.5852272727272727,0.5795454545454546,0.5795454545454546
23_mammography,0.0884615384615384,0.3846153846153846,0.4192307692307693,0.4923076923076923,0.173076923076923,0.5269230769230769,0.5307692307692308,0.3923076923076923,0.1692307692307692,0.4038461538461538,0.473076923076923,0.3846153846153846,0.0346153846153846,0.4461538461538462,0.1923076923076923,0.3884615384615384,0.4461538461538462,,,0.0307692307692307,0.2692307692307692,0.4115384615384615,0.4423076923076923,0.4576923076923077,0.2692307692307692,0.2769230769230769,0.3269230769230769,0.2692307692307692,0.3423076923076923,0.3038461538461538,0.2961538461538461,0.35,0.3576923076923077,0.3115384615384615,0.4461538461538462,0.3423076923076923,0.3769230769230769,0.3769230769230769,0.3346153846153846,0.4269230769230769,0.3192307692307692,0.4576923076923077,0.1923076923076923,0.4269230769230769,0.2384615384615384,0.3576923076923077,0.35
47_yeast,0.4970414201183432,0.4556213017751479,0.4654832347140039,0.514792899408284,0.4595660749506903,0.4260355029585799,0.4635108481262328,0.4536489151873767,0.4437869822485207,0.4674556213017751,0.4615384615384615,0.4773175542406311,0.4635108481262328,0.4339250493096647,0.4654832347140039,0.4773175542406311,0.4497041420118343,,,0.4733727810650887,0.4674556213017751,0.4161735700197239,0.4378698224852071,0.8520710059171598,0.4674556213017751,0.4852071005917159,0.4339250493096647,0.4674556213017751,0.4832347140039448,0.4930966469428008,0.4950690335305719,0.4792899408284023,0.4714003944773176,0.5660749506903353,0.534516765285996,0.4970414201183432,0.5641025641025641,0.4733727810650887,0.4970414201183432,0.4733727810650887,0.5226824457593688,0.4694280078895463,0.5108481262327417,0.4694280078895463,0.4970414201183432,0.4812623274161736,0.5088757396449705
4_breastw,0.8779761904761906,0.9642857142857144,0.9642857142857144,0.9613095238095238,0.4107142857142857,0.9613095238095238,0.9464285714285714,0.4791666666666667,0.9702380952380952,0.9583333333333334,0.9523809523809524,0.8363095238095238,0.9642857142857144,0.9613095238095238,0.8630952380952381,0.0476190476190476,0.9315476190476192,,,0.9464285714285714,0.9404761904761904,0.9523809523809524,0.9613095238095238,0.9613095238095238,0.9404761904761904,0.9196428571428572,0.0952380952380952,0.9404761904761904,0.9107142857142856,0.9285714285714286,0.8720238095238096,0.9315476190476192,0.9196428571428572,0.8869047619047619,0.8988095238095238,0.9047619047619048,0.0952380952380952,0.9315476190476192,0.8839285714285714,0.0476190476190476,0.8690476190476191,0.8630952380952381,0.9702380952380952,0.875,0.9732142857142856,0.8988095238095238,0.8720238095238096
22_magic.gamma,0.7034988038277512,0.687799043062201,0.683761961722488,0.6924342105263158,0.6079545454545454,0.6285885167464115,0.597188995215311,0.7619617224880382,0.6719497607655502,0.7616626794258372,0.6505681818181818,0.7607655502392345,0.6789772727272727,0.6519138755980861,0.6797248803827751,0.4723385167464115,0.5983851674641149,,,0.6363636363636364,0.740281100478469,0.7037978468899522,0.6813696172248804,0.7181519138755981,0.7399820574162679,0.770035885167464,0.697816985645933,0.7399820574162679,0.7917165071770335,0.756877990430622,0.7674940191387559,0.75,0.78125,0.8123504784688995,0.8035287081339713,0.7752691387559809,0.6308313397129187,0.8050239234449761,0.8069677033492823,0.468450956937799,0.8211722488038278,0.8038277511961722,0.6958732057416268,0.7945574162679426,0.7359449760765551,0.7918660287081339,0.8133971291866029
12_fault,0.6225854383358098,0.5215453194650818,0.5512630014858841,0.5690936106983655,0.5601783060921248,0.5081723625557206,0.5156017830609212,0.5022288261515602,0.5364041604754829,0.5557206537890045,0.5304606240713224,0.5066864784546805,0.5482912332838039,0.5527488855869243,0.612184249628529,0.4769687964338782,0.5557206537890045,,,0.5928677563150074,0.5839524517087668,0.5572065378900446,0.563150074294205,0.7295690936106983,0.5839524517087668,0.5928677563150074,0.586924219910847,0.5839524517087668,0.5646359583952452,0.5720653789004457,0.5542347696879644,0.5735512630014858,0.5616641901931649,0.5393759286775631,0.537890044576523,0.5646359583952452,0.5096582466567607,0.5393759286775631,0.5393759286775631,0.4739970282317979,0.5408618127786032,0.5468053491827637,0.5705794947994056,0.5423476968796433,0.5928677563150074,0.5423476968796433,0.5527488855869243
2_annthyroid,0.4868913857677903,0.5318352059925093,0.5355805243445693,0.5936329588014981,0.1385767790262172,0.3164794007490636,0.3838951310861423,0.5262172284644194,0.3595505617977528,0.6198501872659176,0.550561797752809,0.49625468164794,0.5037453183520599,0.5,0.4119850187265917,0.445692883895131,0.1779026217228464,,,0.6404494382022472,0.6554307116104869,0.5,0.5037453183520599,0.3913857677902622,0.653558052434457,0.6367041198501873,0.2677902621722846,0.651685393258427,0.6367041198501873,0.6104868913857678,0.5674157303370787,0.6573033707865169,0.6086142322097379,0.7415730337078652,0.7509363295880148,0.7602996254681647,0.0018726591760299,0.6704119850187266,0.7584269662921348,0.4232209737827715,0.7677902621722846,0.7621722846441947,0.5224719101123596,0.7790262172284643,0.5187265917602997,0.749063670411985,0.7808988764044944
25_musk,1.0,0.1958762886597938,1.0,1.0,0.2474226804123711,0.8762886597938144,0.9278350515463918,1.0,1.0,1.0,0.9381443298969072,1.0,0.4742268041237113,1.0,0.2268041237113402,0.6391752577319587,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8144329896907216,1.0,1.0,0.6391752577319587,1.0,1.0,0.8350515463917526,1.0,0.8350515463917526,1.0,1.0
30_satellite,0.7288801571709234,0.6640471512770137,0.6733791748526523,0.6394891944990176,0.5112966601178782,0.6070726915520629,0.5663064833005894,0.7274066797642437,0.7598231827111984,0.7180746561886051,0.6434184675834971,0.7264243614931237,0.6090373280943026,0.6267190569744597,0.5044204322200393,0.6296660117878192,0.6890962671905697,,,0.7229862475442044,0.718565815324165,0.656188605108055,0.6114931237721022,0.9567779960707268,0.7190569744597249,0.7195481335952849,0.6055992141453831,0.718565815324165,0.712180746561886,0.7018664047151277,0.6674852652259332,0.7102161100196464,0.7107072691552062,0.7166011787819253,0.7141453831041259,0.7136542239685658,0.425343811394892,0.7151277013752456,0.6881139489194499,0.6281925343811395,0.7337917485265226,0.7254420432220039,0.7450884086444008,0.7229862475442044,0.7382121807465619,0.7156188605108055,0.7254420432220039
