,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
9_census,0.1344752736357307,0.1377594630867146,0.1917409271554429,0.1930211540545225,0.1208644840800797,0.1134923030485964,0.1134923030485964,0.1173432293914558,0.1348649755024157,0.2089648890518416,0.1942610827763868,0.1320668548690436,0.2791101386542688,0.1902574357587608,0.1663760335401085,0.123509027535151,0.188558157533788,0.109244663451066,,,0.1506600959829279,0.155142170486797,0.1647869855991177,0.2165504131426185,0.1144052122200743,0.154732597170115,0.1469430422421123,0.081948960579673,0.160673756892459,0.1769469351008028,0.139813842659956,0.1372534982148985,0.1562171619493137,0.163172402084313,0.1592159077141571,0.134439323642903,0.1717542602373717,0.1659144577216465,0.1747841625043366,0.1695785646709875,0.1256974640308792,0.1631551108889204,0.1882810531443542,0.2046392785830321,0.1910119425317971,0.2046392785830321,0.1726978131776868
43_WDBC,0.7651738997607063,0.8543470418470419,0.9179424172922626,0.7809760332072705,0.0561032318316963,0.8884516250033492,0.6074377819121137,0.95368542747575,0.7651351656665422,0.8262792762792763,0.3157899690637118,0.95368542747575,0.576665476433381,0.8770119573409048,0.2832857008917016,0.0289465945043668,0.9857764247396354,0.0571966664624901,,,0.939045555092086,0.9928774928774928,0.8974283465072939,0.8969090963199295,0.9076923076923076,0.9925356125356126,0.9806925450423902,0.7454183888007417,0.9928774928774928,0.9925213675213675,0.9591560998587304,1.0,0.9070567826566278,0.9832968688231848,0.7149340075453949,0.7146691316957162,0.901999521077627,0.9633937404059356,0.9566093134591588,0.8462637839269956,0.0296103345547033,0.8409520971517875,0.850915619468251,1.0,0.8749865276335864,1.0,0.8719570390623024
46_WPBC,0.545636423128883,0.4142872602422726,0.4038506103600101,0.4488493284856186,0.2777903783349011,0.3773745345242172,0.3641128742585442,0.4369726038041424,0.4120616495260291,0.4640837348869249,0.3747557619087689,0.4364194455429979,0.4540300148089267,0.3992550159003044,0.2705296654061357,0.3526784568005214,0.7493823809443408,0.4214194711382356,,,0.4459584085365443,0.4097077320872586,0.4274512692086005,0.4018553510604404,0.3925428532865434,0.4094915509351742,0.4707918792827518,0.3520363411640922,0.4095407187168104,0.5281513206728344,0.4841291622123967,0.650970731272548,0.4576843566152938,0.5179275218258809,0.6505349771996389,0.6592449646583215,0.6580670429439397,0.4638612538584657,0.5706558561985953,0.6607717826761208,0.3515026088517704,0.6907919678034162,0.7078256202179773,0.8626216836179024,0.6729377346775924,0.8670090085089106,0.6507778478379849
19_landsat,0.3822310569514379,0.4583747945781032,0.3700923816368814,0.3660615360190714,0.3793244540319852,0.3382256472806171,0.3109210286186628,0.6155747056540837,0.6011954419175513,0.548471358455096,0.3456300948762097,0.6136872080638885,0.3467693321851776,0.3272128030043703,0.3669282937509192,0.3605214636077099,0.5325144681713561,0.2960048295408902,,,0.3341889194262104,0.3209409212828822,0.3367993114880649,0.2749616341302765,0.3438877319006079,0.3209786748258687,0.3515748052450463,0.3604021986570219,0.3209530177092955,0.3121913510487879,0.3214137961456393,0.3027814909685271,0.3250348029098919,0.3341029237750105,0.3161935646932099,0.3377947188266416,0.3712344106402682,0.3327095438494503,0.3448834786472304,0.3487569780868266,0.4193407817606837,0.3673801295548213,0.3565856877101108,0.516443370718512,0.368852187654618,0.613931227302227,0.3565008318382478
27_PageBlocks,0.5908304554647597,0.4578127572059768,0.6425402043132474,0.7052355726899661,0.2767853032948111,0.4151417299540282,0.585416733094317,0.7169341146186454,0.2248261482803519,0.6760167049896698,0.4745375105657393,0.7107351290459117,0.6312202866174113,0.5935259442472628,0.4418115287483593,0.3033479861312801,0.4463447698566772,0.4395447732089392,,,0.6724786581028653,0.6559352013916656,0.6023043241713791,0.6738735792952881,0.6533886925970873,0.6563177173975862,0.6086507912513031,0.8274249408048759,0.6562254349916743,0.6502377713648771,0.6770123637698852,0.619784317086976,0.6623056001400478,0.6595482240553384,0.6646721642945668,0.6384155005980047,0.6780093081058062,0.1118447115724502,0.6891574698929084,0.5950594442054056,0.2593550842509089,0.6474615401719443,0.6369135999502876,0.668142767939713,0.6685731354610772,0.7037912948621967,0.6652928627057487
45_wine,0.9968615384615384,0.5704935844718704,0.8565215755191188,0.8587046118006479,0.1458058326345528,0.4545923371825477,0.2522695499010097,0.8636519223936281,0.6196428649109238,0.9195514672605284,0.4725789857196366,0.8846584787755702,0.6983179297579674,0.5925102911444677,0.0896422918812051,0.0834223024027683,0.8210628019323671,0.3079551938563412,,,0.9254243126614784,0.8018685255330078,0.6219013092088558,0.6925472478746937,0.845819083023544,0.801576354931447,0.9252218910340068,0.1701961896819406,0.8016511342286601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.222287404565507,1.0,0.969103396653547,0.0836660382212576,1.0,1.0,1.0,0.9968615384615384,1.0,1.0
42_WBC,0.3445607133765305,0.950767629456154,0.9795031055900622,0.962672811059908,0.0673344324061837,0.9342923742923744,0.9342923742923744,0.2668472069074336,0.8795036828946604,0.9518069366965802,0.5811001460171619,0.2088184845935731,0.7692355525848924,0.9611607142857144,0.517702874235388,0.0384901452937446,0.4621841614115606,0.193248655451668,,,0.8879610222467366,0.9005194805194805,0.9660098522167488,0.960020931449503,0.7375715262181428,0.899901125134414,0.5930241327407311,0.5666213554344143,0.9005194805194805,0.8621631870544914,0.8547666358338437,0.7051970765339279,0.7698211162690548,0.7834482560576496,0.3995892252608377,0.39980225224078,0.3408445956267427,0.1527074931896636,0.7545855837638193,0.3461469337038578,0.0384901452937446,0.3378876246999404,0.6225528366816608,1.0,0.5420776448570541,1.0,0.3377279338269975
17_InternetAds,0.7143372301972701,0.2859887101045822,0.4814722493540307,0.4704044558536814,0.2432213884765376,0.6174147411587243,0.6186543520792999,0.52513503407677,0.3079412590545833,0.4922298366456591,0.4035835964258745,0.5043250772079997,0.3435429461274852,0.4696880817228111,0.3540028978374328,0.3606853255678485,0.5653189498790065,0.3018438171021469,,,0.7420810607378381,0.6715968572192543,0.4368132724314588,0.5931740314278765,0.3711532729779069,0.6754599908838598,0.7176646873103464,0.5757124000211519,0.7098729388535833,0.7242455869065395,0.7133153395409417,0.6954921875371256,0.7286210779279948,0.7172851052005816,0.5341183726449912,0.5734085099745737,0.5622839101703256,0.32731527069472,0.7441680993187242,0.5126206478351356,0.3793662398758241,0.5170414469214926,0.606314175282619,0.6100549044924405,0.5513924651857196,0.6100549044924405,0.6162315979144649
6_cardio,0.6456849681399417,0.8030236071816461,0.8359468459874632,0.7744527585030561,0.2641185325312063,0.748809572727359,0.7855478323833374,0.7307952405270919,0.5887270423759969,0.7721500992771263,0.8125345898147192,0.7015451376898001,0.6682492430076159,0.8628404059553183,0.4043093133060786,0.7866160026065483,0.406034877559565,0.6840319387827489,,,0.774734546605477,0.8435064443810613,0.8631028212074506,0.8546841022204572,0.7213561849793243,0.8435260174707983,0.7660059925023668,0.3432631418047569,0.8435002964515916,0.7621201170752303,0.7651345273938062,0.647130964045293,0.7770594793488282,0.7767246463287626,0.6178042447251509,0.7138470932086868,0.7176354718087505,0.2643265053223339,0.7808147764177822,0.4631728000620401,0.7913769170886968,0.6993011739090679,0.6535255323917462,0.4145576636655151,0.6945956702841383,0.5371080704980973,0.6790594411502645
23_mammography,0.0788590591286629,0.395762357160744,0.4052025431883245,0.4116180798156317,0.109573046600948,0.546287905300756,0.5519788753748127,0.3175079157267816,0.2132132585189426,0.4127379631025207,0.4082507948898464,0.3407319687082995,0.0787509215720098,0.4165024950913474,0.1637936591101196,0.2322587781991692,0.1321196596202936,0.458150888527047,,,0.0395660078057193,0.2920576296630545,0.3661788788430873,0.4086176478322032,0.3205414034912346,0.2913740817020429,0.3570051371903565,0.3256765667230859,0.2943219793781323,0.3913857072312462,0.3655906588797074,0.3498768504007642,0.3784590318654006,0.3877629133091519,0.3209387310728294,0.4465559504415171,0.3016455304142804,0.0578026189611187,0.4128581275981103,0.3654487208894826,0.2790651159783707,0.3538929151522403,0.5002504259604249,0.2023711056763677,0.4483330105777774,0.2575236360916589,0.4166827964424347
