,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniformn,diffusion_no_mean,diffusion_slow,diffusion_4
31_satimage-2,0.6872561492255685,0.9442133728586736,0.9692488527508224,0.9675427222444308,0.1055274683243291,0.8527119710673836,0.796596721114712,0.9077153335934958,0.8768416663431468,0.96687219172961,0.927897824161672,0.8846217216219329,0.983036488942974,0.919214111289047,,,0.7797648768393466,0.1274656769024247,0.8710460886527728,,0.960438974681228,0.968390804081602,0.9771221238618324,0.9799161271899149
43_WDBC,0.627155675820241,0.7258939378220424,0.7960862145657467,0.6786112856765031,,0.7950241802093654,0.6133396064037162,0.9073722126862224,0.7602615026590303,0.7921789062139939,0.5365528016345009,0.9013389956372412,0.601891761573258,0.7763390965336046,,,0.8032900962738128,0.293503310005193,,,0.7887422955887008,0.8533448936251922,0.7854677626695268,0.7874233074716166
46_WPBC,0.5058408902045929,0.4390372774139018,0.4507393688107304,0.4687673839244686,,0.388731654669457,0.373492283120035,0.4272220107994666,0.4312213167258454,0.507166416855146,0.4317868473897097,0.4359523574969945,0.4585272875431856,0.4345849195988469,,,0.779179013483064,0.3699784887313295,,,0.4525170961213886,0.4324053126249295,0.4229250441605461,0.4209782432376691
19_landsat,0.3643683976732247,0.4362786997279583,0.3700923816368814,0.3678105439405834,,0.3382256472806171,0.3109210286186628,0.6130938301557004,0.6011954419175513,0.548471358455096,0.4577549822733886,0.6136872080638885,0.3479036065359898,0.3272128030043703,,,0.5174302355315827,0.3703378857081834,,,0.3310180491526692,0.3049444998201728,0.3272241328987458,0.27235581009052146
27_PageBlocks,0.579400657391475,0.4094046935958461,0.6425402043132474,0.706768068736277,,0.4151417299540282,0.585416733094317,0.6971179855874289,0.2248261482803519,0.6760167049896698,0.4632300245213187,0.7107351290459117,0.6322035459185138,0.5935259442472628,,,0.5199151539464034,0.4121443720686741,,,0.7050003187807551,0.6598562166751087,0.6078488790425781,0.6813553513568081
45_wine,0.9877412892502828,0.7245749746340555,0.8927967941516208,0.8804127113628155,,0.5197843187845342,0.3369129409165428,0.9512523306440974,0.8929292718873467,0.9567545317982808,0.7802386853728569,0.932466912817145,0.873913331149029,0.7136297510018861,,,0.7378386182938544,0.1288009946814829,,,0.927399549141792,0.8151245952251909,0.8502712744600133,0.8123363978318099
42_WBC,0.2264422512698621,0.912835390632632,0.9591244725738396,0.8014110948449094,,0.9286893482629918,0.9286893482629918,0.0832966437294787,0.8575408590655967,0.9421751456512693,0.747628669291608,0.2328430931748911,0.9158426117998116,0.9643264840182648,,,0.7067938923079884,0.5913613279343833,,,0.6742718969347529,0.7908073916613279,0.9704601990049752,0.9550868435362107
17_InternetAds,0.7015720770520542,0.315196674042883,0.4814722493540307,0.4706824131707638,,0.6174147411587243,0.6186543520792999,0.5179034195922629,0.3079412590545833,0.4922298366456591,0.3810834227472265,0.5043250772079997,0.3435120398500564,0.4696880817228111,,,0.5304082765954808,0.3687408857085286,,,0.7523612194921968,0.7037630080264193,0.4306306176336079,0.635872087986677
6_cardio,0.590662203150335,0.7613928974455234,0.8359468459874632,0.8268357165136181,,0.748809572727359,0.7855478323833374,0.7240131259634172,0.5887270423759969,0.7721500992771263,0.7423240825665569,0.7015451376898001,0.6716043276484369,0.8628404059553183,,,0.3837803910289365,0.3853783924639827,,,0.7712428886797698,0.8296735154692151,0.8745710124635665,0.8552283284517408
23_mammography,0.0868370880100491,0.4079480469903522,0.4052025431883245,0.4102054636261602,,0.546287905300756,0.5519788753748127,0.2803078293081104,0.2132132585189426,0.4127379631025207,0.4334366118562162,0.3407319687082995,0.0796496968819083,0.4165024950913474,,,0.196090918916704,0.2919539250515555,,,0.0499258594144384,0.3108258656447014,0.3551772015720954,0.39889768678264803
