,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
cover,0.8691784055723335,0.9617370332083417,0.9415237123202223,0.5040025444883371,0.8810071086397426,0.9179889944649163,0.9900955790567088,0.709677327359195,0.9756368492857463,0.9454984138034614,0.991493057488514,0.7019612009679175,0.9442371060935058,0.5465344635089517,0.8036195407606048,0.4343177025610439,0.8498377992524606,0.9787298561021188,0.8095929535116528,0.9818415197060882,0.981644090423843,0.8988063634939972,0.9801190031840827,0.9615069429811539,0.9775042295768389
donors,0.8882030275041751,0.9208922554635697,0.9342932721144717,,0.8148107631671717,0.8863416440799532,0.94912834474423,0.8123757379562822,0.9949733555197225,0.6663801471561286,0.9704754848549246,0.7759670759832229,0.8826760264272302,,,0.5710812404622576,0.8428578690956836,0.9856924972410712,,0.9757551012716963,0.9864434448641716,0.9990148135925994,0.9870189094029966,0.9987733114853525,
fault,0.5500202727089495,0.5720958465555144,0.5874210770550433,0.5530910607900028,0.4914057776048673,0.5036701806028846,0.47921812966096533,0.5305942130204696,0.5872804571085726,0.4981291687954964,0.4742032708199549,0.5846051626269682,0.5586971093226337,0.6386161122334666,0.49685128503194415,0.5437363188510412,0.5167575032459771,0.5768904008137207,0.4967798032258216,0.5828591316249572,0.5948012805789792,0.6078138988755092,0.582069316258947,0.6040025124097103,0.5862846921126272
fraud,0.9470240294521939,0.9548105723251212,0.9467412119973511,,0.9428658019464969,0.9487081276376902,0.9467198505559568,0.949314106294761,0.9546177243353026,0.8752473847012747,0.9407592417469329,0.912493151255136,0.9524865747157465,,,0.8258811911682004,0.7403146620029595,0.9330429393221898,,0.9337320200894565,0.9494544521675974,0.9316306744875177,0.9466903894151575,0.9430534796418267,
glass,0.8217491983647269,0.6984804148055748,0.895258742858513,,0.7655748492749956,0.7270662552027973,0.8886884821470138,0.8384651183030217,0.9226083194948699,0.6696095389470264,0.8918360716596418,0.801647567152963,0.7422292765241275,,,0.9081094738538918,0.7075354294786618,0.9037060456484826,,0.9177949181134308,0.943839140630383,0.9953455558496431,0.9395918652383299,0.9957966348924975,
hepatitis,0.8260648986434921,0.9070008111381164,0.8650293800545691,,0.8128555764103494,0.7432390748960546,0.6823699592344418,0.8485075051313085,0.9643791619823754,0.6960652505425851,0.6764762181342688,0.8118290592160818,0.8479881638527005,,,0.9953039069041684,0.5648083537144125,0.9804059406908735,,0.985559384014517,0.9963371144291219,0.9992728309688458,0.9959156360909466,0.9988771654666001,
http,0.9942558407038204,0.999994877075944,0.9993141235010556,,0.9915451596523905,0.9790522221285617,0.9226883416788734,0.9838224090930852,1.0,0.5940772336371299,0.9997357719074949,0.9994378310322991,0.9994106378912441,,,0.5146717256067113,0.9876689401632801,0.9944310012553728,,0.994075395232834,0.9951014147655463,0.9976812525696377,0.9941243303277749,0.9996617830562649,
imdb,0.49439999999999995,0.4871903157894737,0.4994221578947369,,0.5104652631578948,0.4688273684210526,0.4953418947368421,0.4993688421052631,0.5008155789473684,0.472385894736842,0.4957393684210526,0.5137073684210527,0.4797402105263157,,,0.5016453684210527,,0.5008777894736842,,0.49994715789473687,0.5004652105263158,0.5242854736842105,0.500884052631579,0.5219955789473685,
internetads,0.4764540934320074,0.6563078168362628,0.6516824699352451,0.3464537873428742,0.6593806116341079,0.6601084235729444,0.7239913512814932,0.4917525983566414,0.680754135604288,0.5872286009686021,0.717228056810143,0.4769871986722533,0.6511383114763019,0.568618381672743,0.5141583229036295,0.7266955637481635,0.5739740912553735,0.7432634883278011,0.5240126924960549,0.7640528922022093,0.7731411887141536,0.7236253196930946,0.7643224206889045,0.7236253196930946,0.7725179572291452
ionosphere,0.9177934093118769,0.9622849276617529,0.966345835448059,,0.7878769149420627,0.7191257487719291,0.9433178720938996,0.7179557413678145,0.9733649173417624,0.8483574260382843,0.9416106163577801,0.9519297578931758,0.8929485967496906,,,0.974795328143551,0.7042801595269824,0.9549203684264487,,0.9611131347324879,0.9626073630562958,0.9889262814219464,0.9588824039803688,0.9886354533687797,
