,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
cover,0.11868534288045035,0.24665257433178828,0.14261513780335516,0.03973860729300875,0.18553781569627842,0.24229368284328606,0.7754267306525854,0.1031327177532793,0.6504375526573727,0.22736576378661474,0.8243817276732256,0.03453370977430838,0.16019130703882417,0.04170147666951115,0.0,0.031183224517703848,0.6988862608165924,0.000538793103448275,0.6682089698355266,0.7867758388529463,0.41070415455768206,0.7104877367934953,0.6031712957939279,0.7088783638718152
donors,0.4273482580955944,0.3995087324585663,0.4806626348450176,,0.41440506495236856,0.4477088170422514,0.5310641348071352,0.23842961901954993,0.948861559924041,0.26236719127707636,0.7495468958138254,0.252375784696839,0.3785790302439112,,,0.25238278820716814,0.8625075765145733,,0.7674749514998578,0.8789544679666402,0.9738790318709905,0.8829902337563316,0.9715988752982286,
fault,0.5312035661218425,0.5512630014858841,0.562778603268945,0.5601783060921248,0.5081723625557206,0.5156017830609212,0.5007429420505201,0.5364041604754829,0.5557206537890045,0.5100297176820208,0.5066864784546805,0.5527488855869243,0.5527488855869243,0.612184249628529,0.5081723625557206,0.549777117384844,0.5505200594353641,0.5074294205052006,0.5527488855869243,0.5612927191679049,0.575037147102526,0.5505200594353641,0.5776374442793462,0.5479197622585439
fraud,0.2762423097568025,0.4141120607787274,0.34658140303067836,,0.4474305297493703,0.37695714108757583,0.6882441471571906,0.4138780502910938,0.4696316941244477,0.4552711713943598,0.6044408315785127,0.5480293364713654,0.3323785044799537,,,0.5325455221107395,0.45154228085387504,,0.5886465171972418,0.7850090837771997,0.566688240637516,0.7720508691523185,0.5820816301251084,
glass,0.18250700280112045,0.1806022408963585,0.2903501400560224,,0.20536414565826328,0.1906022408963585,0.2542717086834734,0.31313725490196076,0.29703081232492995,0.14959383753501398,0.22941176470588232,0.19655462184873945,0.1906022408963585,,,0.5588795518207283,0.32784313725490194,,0.30403361344537816,0.34165266106442577,0.9005602240896358,0.32784313725490194,0.9257703081232492,
hepatitis,0.5429609246044785,0.65805300841896,0.6684049388095201,,0.5354637255504797,0.3787989997065271,0.4042430471448343,0.5782000079636179,0.81642378482255,0.4964601154285606,0.408053805244469,0.5543476971526388,0.6108037490029634,,,0.9416579193620004,0.9300594756433704,,0.9294841962219372,0.973662003220257,0.9955621301775148,0.9628706363137822,0.9955621301775148,
http,0.3179230672132039,0.9972307221542228,0.9109508957140815,,0.02236577570965875,0.021096740176663825,0.0,0.021096740176663825,1.0,0.01163423424405825,0.9628293634274566,0.9253752630602595,0.9226527391551715,,,0.2817064674815865,0.2491268545455075,,0.21187074280469878,0.3400416293613606,0.7510845826938968,0.2126031414311619,0.9500711738323497,
imdb,0.0605,0.058,0.0695,,0.066,0.05,0.0665,0.064,0.054,0.0745,0.064,0.074,0.056,,,0.083,0.0805,,0.067,0.081,0.1075,0.0675,0.1065,
internetads,0.2622282608695652,0.4619565217391304,0.45788043478260865,0.1929347826086956,0.5,0.5,0.5597826086956521,0.2717391304347826,0.5190217391304348,0.41508152173913043,0.5461956521739131,0.3342391304347826,0.4565217391304347,0.3695652173913042,0.34578804347826086,0.5421195652173914,0.6032608695652174,0.3559782608695652,0.6256793478260869,0.6501358695652174,0.5611413043478262,0.6290760869565217,0.5611413043478262,0.6487771739130435
ionosphere,0.8490912413933136,0.92525679383646,0.9199122050531918,,0.7040927875346275,0.6468099928643977,0.8709342544400933,0.7007346013853597,0.9018902697993423,0.7708128781650908,0.8693454466712672,0.8812145829806236,0.7942834402942045,,,0.9323614113719659,0.8943499225572072,,0.8929172578007603,0.8965769911980672,0.9370474275451618,0.8929172578007603,0.9320175918320994,
