,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
17_InternetAds,0.7119565217391305,0.2282608695652173,0.4619565217391304,0.4565217391304347,0.1929347826086956,0.5,0.5,0.5163043478260869,0.2717391304347826,0.5190217391304348,0.4157608695652174,0.5461956521739131,0.3342391304347826,0.4565217391304347,0.3695652173913042,0.3668478260869566,0.5842391304347826,,,0.7336956521739132,0.654891304347826,0.3858695652173913,0.5652173913043478,0.4184782608695652,0.6630434782608695,0.7282608695652174,0.5108695652173914,0.6684782608695652,0.720108695652174,0.7146739130434783,0.7146739130434783,0.7146739130434783,0.7092391304347827,0.6413043478260869,0.6358695652173914,0.6385869565217391,0.2907608695652174,0.7119565217391305,0.6385869565217391,0.3831521739130435,0.6521739130434783,0.6684782608695652,0.5733695652173914,0.6467391304347826,0.5733695652173914,0.6440217391304348
6_cardio,0.5340909090909091,0.6761363636363636,0.7045454545454546,0.6420454545454546,0.2954545454545454,0.7045454545454546,0.7386363636363636,0.6477272727272727,0.5625,0.6193181818181818,0.6988636363636364,0.625,0.5909090909090909,0.7613636363636364,0.4375,0.6875,0.4147727272727273,,,0.6818181818181818,0.7784090909090909,0.7840909090909092,0.7670454545454546,0.5454545454545454,0.7784090909090909,0.6477272727272727,0.3465909090909091,0.7784090909090909,0.6534090909090909,0.6647727272727273,0.5795454545454546,0.6704545454545454,0.6761363636363636,0.5738636363636364,0.5909090909090909,0.5852272727272727,0.2784090909090909,0.6761363636363636,0.5795454545454546,0.6931818181818182,0.5738636363636364,0.5795454545454546,0.5113636363636364,0.5795454545454546,0.5568181818181818,0.5795454545454546
23_mammography,0.0923076923076923,0.4038461538461538,0.4192307692307693,0.4923076923076923,0.173076923076923,0.5269230769230769,0.5307692307692308,0.3846153846153846,0.1692307692307692,0.4038461538461538,0.4961538461538461,0.3846153846153846,0.0307692307692307,0.4461538461538462,0.1923076923076923,0.3692307692307692,0.2115384615384615,,,0.023076923076923,0.2692307692307692,0.3807692307692307,0.4384615384615384,0.3807692307692307,0.2692307692307692,0.3269230769230769,0.3461538461538461,0.273076923076923,0.3576923076923077,0.3346153846153846,0.3538461538461538,0.3653846153846153,0.35,0.3192307692307692,0.4115384615384615,0.3153846153846154,0.0192307692307692,0.3807692307692307,0.35,0.4038461538461538,0.3423076923076923,0.4807692307692308,0.2,0.4269230769230769,0.2538461538461538,0.3769230769230769
47_yeast,0.4891518737672584,0.4398422090729783,0.4654832347140039,0.5128205128205128,0.4595660749506903,0.4260355029585799,0.4635108481262328,0.4871794871794871,0.4437869822485207,0.4674556213017751,0.4832347140039448,0.4773175542406311,0.4595660749506903,0.4339250493096647,0.4654832347140039,0.4891518737672584,0.5266272189349113,,,0.4595660749506903,0.4536489151873767,0.4299802761341222,0.4378698224852071,0.9171597633136096,0.4536489151873767,0.4773175542406311,0.4319526627218935,0.4536489151873767,0.4615384615384615,0.4694280078895463,0.4871794871794871,0.4733727810650887,0.4575936883629191,0.504930966469428,0.4970414201183432,0.4970414201183432,0.5207100591715976,0.4714003944773176,0.5069033530571992,0.4911242603550296,0.52465483234714,0.4595660749506903,0.4891518737672584,0.4753451676528599,0.4970414201183432,0.4812623274161736
4_breastw,0.7988505747126436,0.971264367816092,0.9798850574712644,0.9597701149425288,0.3850574712643678,0.9683908045977012,0.9511494252873564,0.8505747126436781,0.9683908045977012,0.9597701149425288,0.9626436781609196,0.9080459770114944,0.9511494252873564,0.9626436781609196,0.8706896551724138,0.0862068965517241,0.9166666666666666,,,0.956896551724138,0.9482758620689656,0.956896551724138,0.956896551724138,0.9655172413793104,0.9482758620689656,0.913793103448276,0.1264367816091954,0.9482758620689656,0.9195402298850576,0.9396551724137931,0.8074712643678161,0.942528735632184,0.9224137931034484,0.9540229885057472,0.8793103448275863,0.9339080459770116,0.0890804597701149,0.8706896551724138,0.9511494252873564,0.0862068965517241,0.9396551724137931,0.8994252873563219,0.9597701149425288,0.8793103448275863,0.9626436781609196,0.8764367816091954
22_magic.gamma,0.729665071770335,0.6888456937799043,0.683761961722488,0.6924342105263158,0.6079545454545454,0.6285885167464115,0.597188995215311,0.7728767942583732,0.6719497607655502,0.7616626794258372,0.642494019138756,0.7607655502392345,0.677183014354067,0.6519138755980861,0.6797248803827751,0.4620215311004784,0.5931519138755981,,,0.6275418660287081,0.7272727272727273,0.7055921052631579,0.6777811004784688,0.7830442583732059,0.7269736842105263,0.7654007177033493,0.6901913875598086,0.7274222488038278,0.7905203349282297,0.767194976076555,0.7997906698564592,0.7606160287081339,0.7803528708133971,0.777811004784689,0.7926136363636364,0.7926136363636364,0.6571471291866029,0.7857356459330144,0.7936602870813397,0.4582834928229665,0.7962021531100478,0.8172846889952153,0.7005083732057417,0.7988935406698564,0.7286184210526316,0.8127990430622009
12_fault,0.6240713224368499,0.5393759286775631,0.5512630014858841,0.5616641901931649,0.5601783060921248,0.5081723625557206,0.5156017830609212,0.5066864784546805,0.5364041604754829,0.5557206537890045,0.4962852897473997,0.5066864784546805,0.5601783060921248,0.5527488855869243,0.612184249628529,0.5527488855869243,0.5676077265973254,,,0.612184249628529,0.5943536404160475,0.5676077265973254,0.5705794947994056,0.9420505200594352,0.5943536404160475,0.5884101040118871,0.5780089153046062,0.5943536404160475,0.5512630014858841,0.5572065378900446,0.5423476968796433,0.586924219910847,0.5512630014858841,0.5349182763744428,0.5527488855869243,0.5349182763744428,0.4918276374442793,0.5557206537890045,0.5527488855869243,0.5527488855869243,0.5572065378900446,0.5468053491827637,0.5735512630014858,0.5408618127786032,0.5616641901931649,0.5364041604754829
2_annthyroid,0.5749063670411985,0.5037453183520599,0.5355805243445693,0.5318352059925093,0.1385767790262172,0.3164794007490636,0.3838951310861423,0.548689138576779,0.3595505617977528,0.6198501872659176,0.4138576779026217,0.49625468164794,0.5037453183520599,0.5,0.4119850187265917,0.3970037453183521,0.1797752808988764,,,0.6404494382022472,0.6554307116104869,0.4887640449438202,0.5093632958801498,0.3183520599250936,0.653558052434457,0.5786516853932584,0.3183520599250936,0.651685393258427,0.6142322097378277,0.548689138576779,0.5337078651685393,0.6423220973782772,0.6779026217228464,0.7546816479400749,0.7546816479400749,0.752808988764045,0.0056179775280898,0.6910112359550562,0.7509363295880148,0.3651685393258427,0.7734082397003746,0.7734082397003746,0.5,0.7752808988764045,0.5468164794007491,0.7790262172284643
25_musk,1.0,0.3917525773195876,1.0,1.0,0.2474226804123711,0.8762886597938144,0.9278350515463918,1.0,1.0,1.0,0.9484536082474226,1.0,0.7835051546391752,1.0,0.2268041237113402,0.9175257731958762,1.0,,,1.0,1.0,1.0,0.9896907216494846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8659793814432989,1.0,1.0,0.9072164948453608,1.0,1.0,0.7422680412371134,1.0,0.7422680412371134,1.0
30_satellite,0.7303536345776032,0.6768172888015717,0.6733791748526523,0.6394891944990176,0.5112966601178782,0.6070726915520629,0.5663064833005894,0.7259332023575639,0.7598231827111984,0.7180746561886051,0.6507858546168959,0.7264243614931237,0.7229862475442044,0.6267190569744597,0.5044204322200393,0.6213163064833006,0.6409626719056974,,,0.7259332023575639,0.712671905697446,0.6542239685658153,0.6213163064833006,0.9577603143418468,0.712671905697446,0.7205304518664049,0.599705304518664,0.7131630648330057,0.7097249508840866,0.7200392927308448,0.6714145383104125,0.712671905697446,0.7057956777996071,0.7337917485265226,0.7347740667976425,0.7043222003929273,0.4228880157170923,0.7200392927308448,0.7013752455795678,0.6173870333988212,0.7224950884086443,0.7441060903732809,0.75,0.7205304518664049,0.7382121807465619,0.7283889980353635
35_SpamBase,0.718880285884455,0.7974985110184634,0.7855866587254319,0.7873734365693865,0.4997022036926742,0.7159023228111971,0.6950565812983919,0.7093508040500299,0.7492555092316855,0.8052412150089339,0.7325789160214412,0.7397260273972603,0.7671232876712328,0.7849910661107802,0.6259678379988088,0.4895771292435973,0.7206670637284097,,,0.7552114353782013,0.7278141751042287,0.7802263251935677,0.7790351399642643,0.8659916617033949,0.7278141751042287,0.7111375818939845,0.3978558665872543,0.7278141751042287,0.7986896962477664,0.7492555092316855,0.7945205479452053,0.7421083978558666,0.764145324597975,0.8010720667063729,0.8028588445503276,0.8004764740917212,0.3561643835616438,0.7832042882668256,0.8046456223942822,0.4937462775461584,0.8153662894580107,0.8064324002382369,0.790946992257296,0.8082191780821918,0.8201310303752234,0.8070279928528886
29_Pima,0.6920980926430518,0.7138964577656675,0.7111716621253404,0.7275204359673025,0.4931880108991825,0.6457765667574932,0.6049046321525886,0.7220708446866485,0.7166212534059946,0.7302452316076294,0.670299727520436,0.7057220708446866,0.7275204359673025,0.7247956403269756,0.553133514986376,0.3760217983651226,0.5231607629427792,,,0.7275204359673025,0.7029972752043597,0.7029972752043597,0.7247956403269756,0.871934604904632,0.7029972752043597,0.6920980926430518,0.5640326975476839,0.7029972752043597,0.7002724795640327,0.7084468664850136,0.670299727520436,0.7166212534059946,0.7057220708446866,0.7138964577656675,0.7111716621253404,0.7002724795640327,0.4550408719346049,0.7029972752043597,0.7111716621253404,0.3732970027247957,0.6893732970027248,0.6975476839237057,0.7574931880108992,0.6866485013623979,0.7356948228882834,0.7138964577656675
24_mnist,0.56,0.4942857142857143,0.6428571428571429,0.6614285714285715,0.3157142857142857,0.0,0.0,0.69,0.2414285714285714,0.7185714285714285,0.3885714285714285,0.7142857142857143,0.5828571428571429,0.6385714285714286,0.4285714285714285,0.4557142857142857,0.4071428571428571,,,0.6685714285714286,0.6842857142857143,0.6414285714285715,0.6842857142857143,0.2542857142857143,0.6842857142857143,0.6014285714285714,0.5085714285714286,0.6842857142857143,0.6185714285714285,0.63,0.5742857142857143,0.6228571428571429,0.6557142857142857,0.6185714285714285,0.62,0.6214285714285714,0.2628571428571428,0.5542857142857143,0.6471428571428571,0.4757142857142857,0.5771428571428572,0.65,0.6457142857142857,0.59,0.6457142857142857,0.6114285714285714
