,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
31_satimage-2,0.4944820750981627,0.9532641564600212,0.9692488527508224,0.9676621630566168,0.1055274683243291,0.8527119710673836,0.796596721114712,0.904647416156424,0.8768416663431468,0.96687219172961,0.941374603809654,0.8846217216219329,0.983036488942974,0.919214111289047,0.2009083455680702,0.3412146926570482,0.859282716036191,0.2318686620752156,0.8789902639605708,,0.933226827178321,0.955114167416744,0.9731033650993202,0.9769876778838475,0.9062319197485782,0.9553020882479272,0.8331987529365271,0.9450413218303272,0.955114167416744,0.9627926412568536,0.9583723117624868,0.8432671333957179,0.9615637145492778,0.9655849480549218,0.8969652081120435,0.8012721566422076,0.7326134668642823,0.0175398376248545,0.9566935103799374,0.8873366069622993,0.3218732870347657,0.7235134923010195,0.8106532690603643,0.9447649418463068,0.8113321367415858,0.9596505780519796,0.9241760847384564,0.7023634583995148
43_WDBC,0.8673098515330784,0.6827126340474505,0.9199462040541502,0.8504120625824478,0.0491913245611366,0.842186799630547,0.651693878439568,0.9612800272795934,0.8219737533830489,0.8672121129076646,0.7666809311004616,0.971388475197617,0.5371395039702126,0.857589096075271,0.2079149276101979,0.0320145885406217,0.7928536456199602,0.2337222680891231,,,0.925685311907978,0.9850885368126744,0.8535997549327019,0.8804489917147612,0.8486122792262405,0.9850885368126748,0.9321493879683536,0.8061885998418505,0.9850885368126748,0.8877031327861804,0.8306073820724844,0.9158948268929916,0.8198245228666043,0.8515349617223447,0.7394092085430415,0.7081445916932199,0.8065299341459055,0.0313122596990042,0.9110474156710608,0.8325089075089076,0.0326020289882636,0.8561373318056353,0.8877506103458916,0.9678639846743295,0.8623704344160854,0.927903978882998,0.7637893686276693,0.7967797847108192
46_WPBC,0.5270288063038092,0.3558433509805975,0.3710584012040843,0.4432612614888669,0.2769048532337117,0.3559053336722478,0.3307330615978741,0.3788283902841921,0.4088550249934424,0.4388017450820237,0.3502359556341797,0.3821695162953243,0.4297522541847511,0.3590142067098588,0.2579878015416545,0.4666147606414951,0.7002229849752863,0.3055478683494531,,,0.4273609593047163,0.3991153132862812,0.3465757116685261,0.3658451158916954,0.3678075396825396,0.3989663757807684,0.4824393106455081,0.336081612027188,0.3985939979397351,0.5352501441163435,0.4910811384099549,0.6206769881918047,0.4316349572483851,0.4898710265439873,0.5561894599613683,0.5372275538445233,0.5668729556035599,0.3967013346550553,0.4971816503364171,0.5334639268239842,0.4652455525158995,0.5806092876069568,0.5811107937475603,0.9328777050946466,0.5975217226526741,0.909038723031968,0.5737774765185812,0.6208764283320379
19_landsat,0.3752484148303739,0.5082999946618553,0.3700923816368814,0.3727047618330431,0.3793244540319852,0.3382256472806171,0.3109210286186628,0.6136870817686906,0.6011954419175513,0.548471358455096,0.337376360062519,0.6136872080638885,0.4298880135664509,0.3272128030043703,0.3669282937509192,0.3497544833345697,0.4735093878618796,0.4374354052680008,,,0.3243368665516561,0.3050784838739863,0.341303626797683,0.2688683774161365,0.3441883256601998,0.305121888976626,0.3380737027577981,0.3453628271929864,0.3049104876262134,0.355325360298929,0.3292068710697847,0.349126266786,0.3552079367703891,0.3583092370023235,0.3502254202305717,0.3376474579181415,0.3237682139928134,0.3068025639990205,0.3626385768016703,0.3261656496662805,0.3384123266940035,0.3578409649772858,0.3131554750634339,0.5455667752032608,0.3297368967693397,0.6066190793495994,0.3196813378313357,0.31287649369598003
27_PageBlocks,0.5685977390009045,0.4186568982343149,0.6425402043132474,0.70772701776178,0.2767853032948111,0.4151417299540282,0.585416733094317,0.703476815462784,0.2248261482803519,0.6760167049896698,0.444043886318424,0.7107351290459117,0.6319894920638489,0.5935259442472628,0.4418115287483593,0.3985685965712934,0.5593799699987217,0.6746416630177938,,,0.6764703862537208,0.6537980043743877,0.6519198781551355,0.6767665518639141,0.6668100855488077,0.6538500385787797,0.5845989029655337,0.8095956899731002,0.6537961525202234,0.6275792070737117,0.6548410679067043,0.6167447865529835,0.6396445726473726,0.635787883324055,0.5519034994887507,0.6048974769346196,0.6786240212268471,0.1112097707924986,0.6750022970395915,0.6953405515402657,0.3426598022942302,0.6606134056343977,0.6003749866484153,0.6989027577291027,0.6493754830781756,0.7272246129665628,0.6711159781579877,0.6707165806906125
45_wine,0.9341569744118794,0.6948388013844558,0.8931652910705317,0.8794110893642509,0.1203846197753256,0.598033304373611,0.3631035374450709,0.8895535383076552,0.7858312094738471,0.9658869985872344,0.6606676928647485,0.8938657235627312,0.7951295853187414,0.7036672600140359,0.0894907173398856,0.0852012318467798,0.8475354345552526,0.6204387154675867,,,0.833238535874111,0.740443621529205,0.534756546734297,0.7287984181432994,0.8120086923658353,0.7417093725203696,0.8459572901992918,0.1796632283327155,0.7413376259562594,1.0,0.972072072072072,1.0,0.9356052024163528,0.990909090909091,1.0,1.0,1.0,0.5331901885064916,0.9952380952380953,1.0,0.0856651152849235,1.0,0.9976190476190476,1.0,1.0,1.0,1.0,1.0
42_WBC,0.3828938752940394,0.9865828092243188,0.9753086419753084,0.8368381259469488,0.0918539467683181,0.9652639009501756,0.9652639009501756,0.0806595067544274,0.933281913915665,0.8522895950315417,0.9399188939518774,0.2899931965112854,0.9666279196236778,0.9298182437742004,0.3464181305593578,0.0535980081048032,0.4913902696187113,0.3113634731976687,,,0.7258297400787509,0.7460019947217257,0.8838237105203763,0.8924795631523903,0.9226145694292764,0.7456204686173079,0.5937355342797546,0.6769989643300478,0.7460019947217257,0.8949339422740723,0.6862271562017044,0.8740664617186356,0.7158418298120987,0.745571989276984,0.4256423000037912,0.3246873389742415,0.3259926044586281,0.0557616680043846,0.7854238952979683,0.4781214697651549,0.0546190806808002,0.3122424913385903,0.3896562508012435,0.970275606752844,0.3813579429492594,0.9927437641723356,0.2367589851316384,0.34960871043536296
17_InternetAds,0.7231743931485185,0.2846927686418801,0.4814722493540307,0.4715481919379408,0.2432213884765376,0.6174147411587243,0.6186543520792999,0.5214478802795284,0.3079412590545833,0.4922298366456591,0.4282579057908104,0.5043250772079997,0.3435429461274852,0.4696880817228111,0.3540028978374328,0.3216025358337303,0.448849322543726,0.4337557704764411,,,0.7544573093252608,0.6823685054748435,0.4555065820778478,0.6116959848439324,0.4075584979781219,0.7126734101140739,0.697665496942917,0.58702505933801,0.7125038327321126,0.7444645460814552,0.7243656340904175,0.7103771944252996,0.7198999674981097,0.7495670889696484,0.5467999837566666,0.5237164484160853,0.6412780524635121,0.2493171430181122,0.7246668033430015,0.5211179569003663,0.322495786188025,0.5992063064321492,0.6444442522091544,0.6053972085042952,0.5652173050223892,0.6053972085042952,0.5491836100360167,0.6313236873809306
6_cardio,0.5988798073506941,0.8107745640353902,0.8359468459874632,0.7813958060037647,0.2641185325312063,0.748809572727359,0.7855478323833374,0.6770725958577616,0.5887270423759969,0.7721500992771263,0.6922067731112354,0.7015451376898001,0.6624800529030092,0.8628404059553183,0.4043093133060786,0.4715302131549911,0.326984832803776,0.45049615633986,,,0.7806278282280632,0.8303348436585414,0.8429517728552876,0.844274124152138,0.7523861630557072,0.8303301221922961,0.7402970053602049,0.3701996963137784,0.8303669417111984,0.7493811039667672,0.7550212022319603,0.6549336310351882,0.7816751670437205,0.7656238804529388,0.7198697639910823,0.6876080195068245,0.6981003696132254,0.1372904349794017,0.7504614947047495,0.7124852744410369,0.465634631648078,0.6999445962895886,0.6503675120148161,0.5137627181228714,0.6477154492463476,0.6100521380919127,0.7155012427028582,0.6825988903009852
23_mammography,0.0833754002319395,0.3665781250560521,0.4052025431883245,0.4117658759668882,0.109573046600948,0.546287905300756,0.5519788753748127,0.2795522175298928,0.2132132585189426,0.4127379631025207,0.4482412384345888,0.3407319687082995,0.0817786733969641,0.4165024950913474,0.1637936591101196,0.2840917811164027,0.4261775032433406,0.4563346776583301,,,0.042217027582688,0.2752772669424174,0.3911455807552659,0.4073543273651057,0.348122580231877,0.2745652703378196,0.2844384482441914,0.2972361931458539,0.2735215351809875,0.3699595743410465,0.334865760993161,0.283459565824565,0.3606373497860123,0.3779491961282076,0.3125585443402426,0.4683883491021244,0.3141818980706342,0.2945786427354828,0.4106400821604796,0.3429073941829093,0.3207153066135789,0.3276394764739611,0.496817377511441,0.1921051316860939,0.4594543658756991,0.2276636651915543,0.3849617816865203,0.3830925348111118
