,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_bins_mean_420_t0,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,diffusion_420_bins_7,ICL_bagging,ICL,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
46_WPBC,0.5466101694915254,0.4364406779661017,0.4364406779661017,0.5042372881355932,0.1906779661016949,0.3813559322033898,0.3728813559322034,0.4364406779661017,0.5084745762711864,0.5423728813559322,0.4110169491525423,0.3898305084745763,0.4491525423728814,0.3771186440677966,0.173728813559322,0.3686440677966102,0.673728813559322,,,0.4576271186440678,0.4406779661016949,0.3771186440677966,0.4364406779661017,0.690677966101695,0.4406779661016949,0.4872881355932203,0.3135593220338983,0.4406779661016949,0.5169491525423728,0.4957627118644068,0.5889830508474576,0.4872881355932203,0.5127118644067796,0.5805084745762712,0.6186440677966102,0.614406779661017,0.3474576271186441,0.5466101694915254,0.614406779661017,0.3686440677966102,0.6864406779661016,0.6567796610169492,0.6864406779661016,0.4576271186440678,0.8177966101694916,0.6779661016949152,0.6228813559322034
19_landsat,0.4591147786946736,0.4261065266316579,0.3855963990997749,0.3855963990997749,0.3915978994748688,0.3383345836459114,0.3075768942235559,0.5438859714928732,0.5213803450862715,0.5146286571642911,0.3623405851462866,0.536384096024006,0.5468867216804201,0.3398349587396849,0.374343585896474,0.3818454613653412,0.4141035258814703,,,0.296324081020255,0.2805701425356339,0.304576144036009,0.1950487621905476,0.5446361590397599,0.2813203300825206,0.323330832708177,0.3383345836459114,0.2813203300825206,0.3113278319579895,0.291072768192048,0.3353338334583646,0.2768192048012003,0.2828207051762941,0.3510877719429857,0.3203300825206301,0.3293323330832708,0.3068267066766691,0.3353338334583646,0.31807951987997,0.3885971492873218,0.3000750187546886,0.3083270817704426,0.3053263315828957,0.3165791447861965,0.5431357839459865,0.4163540885221305,0.2895723930982746
27_PageBlocks,0.596078431372549,0.4411764705882353,0.5568627450980392,0.6490196078431373,0.307843137254902,0.3666666666666666,0.492156862745098,0.6490196078431373,0.1235294117647058,0.5901960784313726,0.3941176470588235,0.6588235294117647,0.5764705882352941,0.4686274509803921,0.4372549019607843,0.3980392156862744,0.5803921568627451,,,0.7019607843137254,0.6529411764705882,0.5705882352941176,0.596078431372549,0.5705882352941176,0.6529411764705882,0.5843137254901961,0.7549019607843137,0.6529411764705882,0.6058823529411764,0.6274509803921569,0.5392156862745098,0.6549019607843137,0.6137254901960785,0.6058823529411764,0.6274509803921569,0.615686274509804,0.1019607843137254,0.6509803921568628,0.6352941176470588,0.376470588235294,0.596078431372549,0.6196078431372549,0.6176470588235294,0.1764705882352941,0.615686274509804,0.6254901960784314,0.6098039215686275
45_wine,0.9659090909090908,0.6704545454545454,0.7727272727272727,0.7954545454545455,0.0,0.5909090909090909,0.4204545454545454,0.8977272727272727,0.7727272727272727,0.8863636363636365,0.4659090909090909,0.8863636363636365,0.715909090909091,0.6931818181818182,0.0,0.0,0.9318181818181818,,,0.7954545454545455,0.6931818181818182,0.6931818181818182,0.6931818181818182,0.7840909090909092,0.6931818181818182,0.8295454545454547,0.1704545454545454,0.6931818181818182,0.9772727272727272,0.9659090909090908,1.0,0.9772727272727272,0.9772727272727272,0.9431818181818182,0.9204545454545456,0.9772727272727272,0.375,0.9772727272727272,0.9772727272727272,0.0,0.9772727272727272,0.9772727272727272,0.9772727272727272,0.715909090909091,1.0,0.9772727272727272,0.9772727272727273
42_WBC,0.1666666666666666,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.0555555555555555,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.7592592592592593,0.7592592592592593,0.3518518518518518,0.7777777777777778,0.8518518518518519,0.3518518518518518,0.0,0.5,,,0.5740740740740741,0.6851851851851852,0.8518518518518519,0.8888888888888888,0.8333333333333334,0.6851851851851852,0.4444444444444444,0.5370370370370371,0.6851851851851852,0.5370370370370371,0.5370370370370371,0.4629629629629629,0.5370370370370371,0.5370370370370371,0.2407407407407407,0.4814814814814814,0.5925925925925926,0.0,0.5370370370370371,0.4814814814814814,0.0,0.3333333333333333,0.4074074074074074,0.5370370370370371,0.7037037037037037,0.8888888888888888,0.4074074074074074,0.35185185185185186
17_InternetAds,0.6956521739130435,0.2418478260869565,0.4619565217391304,0.4565217391304347,0.1929347826086956,0.5,0.5,0.5353260869565217,0.2717391304347826,0.5190217391304348,0.4375,0.5461956521739131,0.3342391304347826,0.4565217391304347,0.3695652173913042,0.296195652173913,0.5190217391304348,,,0.7255434782608695,0.6929347826086957,0.3940217391304347,0.6005434782608695,0.4184782608695652,0.6875,0.7038043478260869,0.5,0.6875,0.6983695652173914,0.7038043478260869,0.6875,0.717391304347826,0.7119565217391305,0.6086956521739131,0.5896739130434783,0.6331521739130435,0.4456521739130434,0.7092391304347827,0.595108695652174,0.3043478260869565,0.6141304347826086,0.6847826086956522,0.6440217391304348,0.5271739130434783,0.5570652173913043,0.6358695652173914,0.6684782608695652
6_cardio,0.5511363636363636,0.6875,0.7045454545454546,0.7329545454545454,0.2954545454545454,0.7045454545454546,0.7386363636363636,0.6761363636363636,0.5625,0.6193181818181818,0.6420454545454546,0.625,0.5909090909090909,0.7613636363636364,0.4375,0.6477272727272727,0.3409090909090909,,,0.7045454545454546,0.7954545454545455,0.7840909090909092,0.7840909090909092,0.5113636363636364,0.7954545454545455,0.6590909090909091,0.3693181818181818,0.7954545454545455,0.6477272727272727,0.6931818181818182,0.6136363636363636,0.7045454545454546,0.6647727272727273,0.5909090909090909,0.5852272727272727,0.5852272727272727,0.125,0.6306818181818182,0.5965909090909091,0.6477272727272727,0.5795454545454546,0.5909090909090909,0.5852272727272727,0.4886363636363636,0.5340909090909091,0.5852272727272727,0.5795454545454546
23_mammography,0.1,0.3423076923076923,0.4192307692307693,0.2961538461538461,0.173076923076923,0.5269230769230769,0.5307692307692308,0.4038461538461538,0.1692307692307692,0.4038461538461538,0.5653846153846154,0.3846153846153846,0.023076923076923,0.4461538461538462,0.1923076923076923,0.3346153846153846,0.1,,,0.0423076923076923,0.2461538461538461,0.4000000000000001,0.4461538461538462,0.4576923076923077,0.2423076923076923,0.2961538461538461,0.3576923076923077,0.2423076923076923,0.3384615384615385,0.3346153846153846,0.35,0.3730769230769231,0.3384615384615385,0.3423076923076923,0.4115384615384615,0.3538461538461538,0.0423076923076923,0.4230769230769231,0.3884615384615384,0.3846153846153846,0.3884615384615384,0.3615384615384615,0.3576923076923077,0.0269230769230769,0.173076923076923,0.3538461538461538,0.3653846153846153
47_yeast,0.4930966469428008,0.4477317554240631,0.4654832347140039,0.5128205128205128,0.4595660749506903,0.4260355029585799,0.4635108481262328,0.4891518737672584,0.4437869822485207,0.4674556213017751,0.5029585798816568,0.4773175542406311,0.4654832347140039,0.4339250493096647,0.4654832347140039,0.4536489151873767,0.5128205128205128,,,0.4615384615384615,0.4595660749506903,0.4358974358974359,0.4378698224852071,0.8757396449704142,0.4595660749506903,0.4832347140039448,0.4358974358974359,0.4595660749506903,0.4871794871794871,0.4832347140039448,0.4832347140039448,0.4792899408284023,0.4733727810650887,0.5187376725838264,0.504930966469428,0.4812623274161736,0.5266272189349113,0.4753451676528599,0.4733727810650887,0.4536489151873767,0.4753451676528599,0.4773175542406311,0.4457593688362919,0.4733727810650887,0.4773175542406311,0.5108481262327417,0.47534516765285995
4_breastw,0.6019108280254777,0.9681528662420382,0.9713375796178344,0.9585987261146496,0.321656050955414,0.9522292993630572,0.9490445859872612,0.6019108280254777,0.9522292993630572,0.9681528662420382,0.9554140127388536,0.8789808917197452,0.945859872611465,0.9681528662420382,0.8280254777070064,0.0222929936305732,0.9012738853503184,,,0.9490445859872612,0.945859872611465,0.9585987261146496,0.9554140127388536,0.9522292993630572,0.945859872611465,0.8980891719745222,0.0764331210191082,0.945859872611465,0.9140127388535032,0.929936305732484,0.8407643312101911,0.9363057324840764,0.9331210191082804,0.910828025477707,0.8853503184713376,0.910828025477707,0.2038216560509554,0.9044585987261148,0.9076433121019108,0.0254777070063694,0.8789808917197452,0.8694267515923567,0.8471337579617836,0.8439490445859873,0.9585987261146496,0.9171974522292994,0.8821656050955414
22_magic.gamma,0.7188995215311005,0.6984150717703349,0.683761961722488,0.6924342105263158,0.6079545454545454,0.6285885167464115,0.597188995215311,0.7661483253588517,0.6719497607655502,0.7616626794258372,0.6546052631578947,0.7607655502392345,0.6779306220095693,0.6519138755980861,0.6797248803827751,0.5170454545454546,0.6031698564593302,,,0.63127990430622,0.7254784688995215,0.7172547846889952,0.6791267942583732,0.7978468899521531,0.725927033492823,0.7745215311004785,0.6718002392344498,0.725927033492823,0.7951555023923444,0.7583732057416269,0.8160885167464115,0.7535885167464116,0.7600179425837319,0.7914174641148325,0.8126495215311005,0.7954545454545455,0.6463815789473685,0.8089114832535885,0.8029306220095693,0.5140550239234449,0.8117523923444975,0.8003887559808612,0.8069677033492823,0.6610346889952153,0.6924342105263158,0.8107057416267943,0.8192284688995214
12_fault,0.6166419019316494,0.5185735512630015,0.5512630014858841,0.563150074294205,0.5601783060921248,0.5081723625557206,0.5156017830609212,0.5007429420505201,0.5364041604754829,0.5557206537890045,0.5512630014858841,0.5066864784546805,0.5824665676077266,0.5527488855869243,0.612184249628529,0.4977711738484398,0.5408618127786032,,,0.6166419019316494,0.6032689450222882,0.5304606240713224,0.5794947994056464,0.9539375928677564,0.6032689450222882,0.6136701337295691,0.6032689450222882,0.6032689450222882,0.575037147102526,0.600297176820208,0.5527488855869243,0.6047548291233283,0.5780089153046062,0.5557206537890045,0.5676077265973254,0.549777117384844,0.5289747399702823,0.5735512630014858,0.5765230312035661,0.4992570579494799,0.5527488855869243,0.586924219910847,0.5542347696879644,0.5200594353640416,0.5958395245170877,0.5557206537890045,0.5482912332838039
2_annthyroid,0.5243445692883895,0.5898876404494382,0.5355805243445693,0.5898876404494382,0.1385767790262172,0.3164794007490636,0.3838951310861423,0.4157303370786517,0.3595505617977528,0.6198501872659176,0.4101123595505618,0.49625468164794,0.5037453183520599,0.5,0.4119850187265917,0.4943820224719101,0.2172284644194756,,,0.599250936329588,0.6423220973782772,0.4943820224719101,0.5074906367041199,0.2565543071161049,0.6385767790262172,0.601123595505618,0.3220973782771535,0.6460674157303371,0.6835205992509363,0.5655430711610487,0.548689138576779,0.6310861423220974,0.6123595505617978,0.7565543071161048,0.7471910112359552,0.7640449438202248,0.2715355805243445,0.6292134831460674,0.7621722846441947,0.4719101123595505,0.7827715355805244,0.7602996254681647,0.7696629213483146,0.4925093632958801,0.3913857677902622,0.7696629213483146,0.7734082397003746
25_musk,1.0,0.5670103092783505,1.0,1.0,0.2474226804123711,0.8762886597938144,0.9278350515463918,1.0,1.0,1.0,1.0,1.0,0.5257731958762887,1.0,0.2268041237113402,0.5876288659793815,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8041237113402062,1.0,1.0,0.5876288659793815,1.0,1.0,1.0,0.845360824742268,0.7835051546391752,1.0,1.0
30_satellite,0.7259332023575639,0.6601178781925344,0.6733791748526523,0.6394891944990176,0.5112966601178782,0.6070726915520629,0.5663064833005894,0.7308447937131629,0.7598231827111984,0.7180746561886051,0.6517681728880157,0.7264243614931237,0.6085461689587426,0.6267190569744597,0.5044204322200393,0.6198428290766208,0.6777996070726916,,,0.7229862475442044,0.7097249508840866,0.6606090373280943,0.6232809430255403,0.9572691552062867,0.7097249508840866,0.724950884086444,0.5839882121807466,0.7102161100196464,0.7151277013752456,0.7067779960707269,0.712180746561886,0.7131630648330057,0.7072691552062869,0.7406679764243614,0.7293713163064833,0.699901768172888,0.4204322200392927,0.7097249508840866,0.7274066797642437,0.6213163064833006,0.7431237721021611,0.7156188605108055,0.7190569744597249,0.599705304518664,0.7539292730844793,0.7244597249508841,0.7254420432220039
35_SpamBase,0.710541989279333,0.7832042882668256,0.7855866587254319,0.7861822513400835,0.4997022036926742,0.7159023228111971,0.6950565812983919,0.699225729600953,0.7492555092316855,0.8052412150089339,0.8106015485407982,0.7397260273972603,0.7552114353782013,0.7849910661107802,0.6259678379988088,0.4508636092912448,0.7004169148302561,,,0.7492555092316855,0.718880285884455,0.7843954734961287,0.7790351399642643,0.8659916617033949,0.7194758784991067,0.7093508040500299,0.3978558665872543,0.718880285884455,0.7969029184038117,0.7409172126265634,0.7939249553305538,0.7349612864800477,0.764145324597975,0.8016676593210244,0.7986896962477664,0.8010720667063729,0.4919594997022037,0.7927337701012508,0.8058368076235854,0.4687313877307921,0.8088147706968434,0.8028588445503276,0.8010720667063729,0.6402620607504467,0.7897558070279929,0.8046456223942822,0.8117927337701013
