,diffusion,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,AutoEncoder,VAE,diffusion_t_uniform,diffusion_no_mean,diffusion_slow,diffusion_4,diffusion_bins,diffusion_l2,diffusion_l20,diffusion_l2m,diffusion_l24,diffusion_l2_64,diffusion_l2_64_200,diffusion_l2_quantile,diffusion_400_128,diffusion_420_512,diffusion_bins_mean,diffusion_bins_mean_420,diffusion_bins_mean_420_margin,diffusion_420_huber,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,ICL_noscaling,diffusion_420_bins_8_0.02,diffusion_420_bins_7_bagging
9_census,0.5503545956989081,0.632678858489698,0.6994303499801671,0.7082187833548045,0.5707596067509764,0.5,0.5,0.552778877537946,0.6264445901236065,0.7189986601040724,0.5558678677317495,0.5866388470472719,0.759382891774335,0.7047150939205421,0.6555971972299823,0.5537340610164713,0.5640880098093183,0.515016946422137,,,0.6178498366280275,0.5398042372044449,0.6839709041346965,0.6925502138482482,0.5007661793660648,0.5276991038026924,0.5579694666665218,0.2465833932805576,0.5236567935608754,0.5608156676797357,0.588739277040395,0.5003164737612688,0.5513585377964698,0.5506988490146696,0.5909193807211185,0.6287481477947662,0.6990432240103804,0.564209510979587,0.6980898902101124,0.5493254044617182,0.6609256183312824,0.7199905345981356,0.7060850454007997,0.7024308994239992,0.7060850454007997,,0.7048166955782609,0.6337341515063072
43_WDBC,0.986929847959456,0.9899528763225748,0.9955543700542366,0.99004178892149,0.4167333511158531,0.9926202542900328,0.9748377345069796,0.9978660976260336,0.9862185471681336,0.9932426424824398,0.9814172668267094,0.9978660976260336,0.965946474615453,0.992975904685694,0.8951720458789011,0.0040899795501022,0.994665244065084,0.6862274384280252,,,0.992709166888948,1.0,0.989330488130168,0.99324264248244,0.9911087401084734,0.9996443496043388,0.9976882724282032,0.9878189739486084,1.0,0.997332622032542,0.9930648172846092,0.9991108740108474,0.9934204676802704,0.9959100204498976,0.986929847959456,0.9841735573930828,0.9909309149106428,0.9969769716368808,0.9855961589757268,0.0044456299457633,0.9874633235529476,0.9870187605583712,1.0,0.9858628967724729,0.9996443496043388,,0.9880857117453544,0.9868409353605405
46_WPBC,0.6301912325849677,0.580863430650457,0.559754636613719,0.5756278285562162,0.2767104445824829,0.5648349454255036,0.5083192829887301,0.5566376785872749,0.6412059632620463,0.6127540154405893,0.5056349276776999,0.5709801224598455,0.6407955453012689,0.550858550004437,0.215768923595705,0.3939679652143047,0.8130490726772562,0.4851251220161505,,,0.5402653296654539,0.4951748158665365,0.5072322300115361,0.5347302333836188,0.5320126009406336,0.5004547874700506,0.5502151921199752,0.4516816044014552,0.4952857396397196,0.6269300736533855,0.5812738486112343,0.6697910196113231,0.5633041973555772,0.609637057414145,0.7575095394444937,0.7491902564557635,0.7290354068684,0.6626031591090603,0.7418138255390895,0.3933135149525246,0.7903540686840003,0.7614140562605377,0.9542550359393024,0.7691676280060343,0.9518036205519568,,0.7119975153074807,0.7530947732718074
19_landsat,0.5905869842607653,0.6098092535678019,0.4797506707135428,0.5716737886941355,0.5404149939876187,0.4929358564650963,0.4201203182018554,0.6651246308245033,0.7320860007240148,0.6825492143321992,0.4178365249877738,0.6658409996462268,0.612128629962273,0.4390355722995821,0.5284378719140781,0.5682294250552054,0.595519224768952,0.5365452496013067,,,0.5092428046251077,0.422122092655661,0.3927250922883602,0.357548765866496,0.5007501875468867,0.4050161403541791,0.4343046267250858,0.4283869379732232,0.4217580267273796,0.458495160834505,0.4049720289735311,0.4559037642593714,0.4164890693469134,0.4393214140461811,0.4067530994861612,0.3345571790830891,0.4293625346752211,0.4456369874514885,0.4850913826065297,0.5933827635662345,0.4987047428262396,0.5193212258376236,0.6457982586591375,0.5165739690508672,0.6702133196960549,,0.487294893107832,0.48153218233997935
27_PageBlocks,0.8421520431195829,0.831803905503209,0.8858025881389018,0.9131760528873574,0.5829071981107068,0.80848414744841,0.8795439027720879,0.9137993911206432,0.656171932107542,0.8965330827128065,0.8360098320360507,0.9129808580539958,0.8706292021109959,0.8612261127310409,0.6417483994826935,0.6006153055240941,0.8021162172365874,0.5641227076656145,,,0.9116827722485964,0.9182181844470684,0.909736446811416,0.9063992577776708,0.8785811825754473,0.91481512719795,0.8883212441059996,0.9601890899743756,0.9182924870070928,0.9048079780867694,0.9108264854487472,0.8164947666899615,0.9150528953900282,0.90892634808942,0.8931657710195919,0.9083379521411186,0.9063257584885654,0.9102272453430368,0.9095460716035696,0.5854744519684154,0.9024057964029528,0.882091074856817,0.8813705408423098,0.8902764055232908,0.8904282237270165,,0.9051915399506792,0.8911660280662859
45_wine,0.9966271191455368,0.9607384833870825,0.9852954229415072,0.9827805556377408,0.5119973963726738,0.8822450368354092,0.764253380277523,0.9724252196810556,0.9647622710731086,0.9923370513920532,0.9400278114737122,0.9856800497056126,0.9733424065800764,0.9586082428474216,0.1513358383384123,0.0071895618213556,0.9686381253883248,0.99153821118968,,,0.9841119559750288,0.9551466019704724,0.9617444303085888,0.970916299298796,0.9360484037989288,0.958992869611527,0.9809757685138614,0.4919080446167046,0.9551466019704724,1.0,1.0,1.0,0.9955619988757064,1.0,1.0,1.0,1.0,1.0,0.9994674398650848,0.0071895618213556,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
42_WBC,0.8187950050132167,0.9968097712150216,0.9968097712150216,0.989882417281925,0.3308267250022787,0.9946221857624646,0.9940752893993255,0.5567860723726187,0.9917965545529122,0.9897456931911404,0.9937106918238994,0.7420016406890894,0.9885151763740772,0.9927080484914776,0.8827818795005012,0.0271169446723179,0.9286755993072646,0.6805669492297877,,,0.9699662747242732,0.9688269073010664,0.9907483365235622,0.9895633944034272,0.9796964725184578,0.9688269073010664,0.9286755993072646,0.9059338255400602,0.9688269073010664,0.9734299516908212,0.955519095798013,0.9775316744143652,0.9482727189864188,0.9564305897365782,0.9077112387202626,0.9279919788533406,0.79979035639413,0.952602315194604,0.9403882964178288,0.0278005651262419,0.7690274359675509,0.884103545711421,0.9990429313645064,0.7398140552365327,0.9993619542430044,,0.8130525932002552,0.8509707410445722
17_InternetAds,0.8367320563748164,0.4553926103281275,0.6563078168362628,0.6510736926593024,0.3464537873428742,0.6593806116341079,0.6601084235729444,0.720384175872014,0.4917525983566414,0.680754135604288,0.5753829515154814,0.717228056810143,0.4769871986722533,0.6511383114763019,0.568618381672743,0.4808286172933558,0.6889760298198836,0.571318768025249,,,0.8347968928551995,0.7985593404799478,0.6150929150568645,0.7352669097241116,0.5625,0.8077624204168256,0.841187353757414,0.7067411030091962,0.803232301246123,0.8197305055232084,0.8142328045926974,0.8147463541383251,0.8236807558360995,0.8128996163682864,0.7131842792621211,0.727723513087011,0.7870231811503511,0.8143943516351961,0.7416879795396419,0.4882699842194047,0.768800674756489,0.7648045110736246,0.7226832453610492,0.7678041845785492,0.7226832453610492,,0.7309918648310388,0.7510509060238341
6_cardio,0.8036303176871498,0.9111039353633064,0.9561050346268,0.9455383642959218,0.5913350555128065,0.9316326811036606,0.9495369352533802,0.9183041112454656,0.807003682532703,0.9199873584698252,0.9078404968670992,0.9220622183137296,0.8286248213696823,0.965510607892712,0.6914917005606245,0.7825107178190611,0.6621688468725955,0.7556818181818181,,,0.8979746070133011,0.9499285478729252,0.9723466527426624,0.9576233923271408,0.9118493734198088,0.949976640650764,0.8993830383642959,0.7690481752226008,0.9499491590634276,0.9176239419588876,0.9142986698911728,0.8764427833351656,0.9140616412003958,0.9191629108497306,0.8729320105529296,0.8491260855226997,0.871647246344949,0.9249168681983072,0.8771435638122458,0.7816313070242936,0.8638836979223921,0.8795207211168518,0.7679523469275584,0.881808563262614,0.7745891502693194,,0.8876964933494558,0.8768378311531275
23_mammography,0.7542902117110137,0.8832279238798191,0.8863349203442593,0.8472440944881889,0.6971405631541139,0.9059470652036116,0.906690800501458,0.8670037891059682,0.8500901497330723,0.875827194230417,0.8816513599932388,0.8551906525995522,0.7365381093910668,0.8993365543081712,0.7927003366529094,0.8149669685743666,0.620880227628076,0.8869539954643415,,,0.4987188877776682,0.8382347555392786,0.8832113729522629,0.888949966898145,0.6660131984843576,0.8337258602960854,0.8718873691772429,0.8615884664685252,0.8399750679644472,0.8594488188976378,0.8635414759201612,0.8631710168608173,0.8625378558449425,0.8412589973659376,0.8403666558674798,0.8770371726789966,0.8378783823757272,0.8592417562294874,0.8191187863592185,0.8128252081191103,0.8640711056019609,0.8650078176721648,0.7786478948628738,0.8906779541644952,0.7695793951516345,,0.8887333962503345,0.8855774512980152
