,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
shuttle,0.005764803183617341,0.0,0.0015249576003236209,0.0,0.0,0.0,0.4412837295215349,0.0,0.0,0.46153011872996313,0.0,0.0,0.0,0.0,0.017081828553544336,0.0020929846848047862,0.00028481913984619117,0.003942285141364192,0.00035838955830594154,0.00014240956992304777,0.0017615090966752013,0.00014240956992304777,0.0004272287097692091,0.0001424095699230817
skin,0.007723659592095598,0.0031349091852813237,0.00351432928822431,,0.006364607421860899,0.004127454632678426,0.018466915284192892,0.0031946679335521375,0.004173148912929254,0.11441348614725891,0.023699110656804124,0.003464264942716414,0.007450212301465312,,,0.03759848834216327,0.006619807035156797,,0.0051697058282570785,0.0027164311447899527,0.010748794649874558,0.005628389982554765,0.13893667199752435,
smtp,0.0,0.05096389250342194,0.05096389250342194,,0.0,0.05096389250342194,0.0,0.0,0.05096389250342194,0.05303095110834125,0.02828308183676798,0.0,0.05096389250342194,,,0.3187439455214998,0.23469337116718764,,0.05096389250342194,0.05096389250342194,0.14285714285714285,0.05096389250342194,0.2054389482945122,0.05096389250342194
spambase,0.004545663347967118,0.0,0.00530489943056869,0.0,0.0,0.0,0.011227091932180867,0.0,0.0,0.03872268183153721,0.0,0.011559203198737024,0.0,0.0,0.021415813236885066,0.0352571208990103,0.004305191273019987,0.01713472095876374,0.008034983658863645,0.004749205365854943,0.0032621951012814197,0.004281091652342266,0.0030125056393674266,0.002063193338378676
speech,0.028394275533915988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020627962937898203,0.0,0.0081967213114754,0.0,0.0,0.01569552635666126,0.0206279629378982,0.00946475851130533,0.01569552635666126,0.0081967213114754,0.015695526356661264,0.01569552635666126,0.01569552635666126,0.01569552635666126,0.013385189851274182
stamps,0.10058084293222866,0.09455235333178737,0.12936398656501547,0.042782519298580145,0.051757056095896786,0.053677105717197936,0.08752085983069052,0.07171549495715897,0.1011850488390459,0.13673415453380441,0.1003634452930617,0.07415191675418266,0.07699546558236013,0.07314069046594067,0.1856494376661109,0.10740676852894787,0.10359247001395361,0.18530718571785482,0.10635069759412126,0.05453481271190533,0.08710103790085943,0.07760285823897818,0.06248072109881016,0.1207290290589957
thyroid,0.023842535296863962,0.0,0.01029491513716496,0.0,0.0,0.0,0.13325671286753626,0.0,0.0,0.047685070593727875,0.0,0.0,0.0,0.0,0.11614230642307992,0.10086915612523507,0.015206597444871977,0.11048790424228214,0.07821918581647018,0.2086871201148335,0.07998535342086521,0.1047582634098601,0.010294915137164901,0.08206633076598788
vertebral,0.011696583682952285,0.04076463847999483,0.0391284516116039,,0.0,0.0104194362890914,0.09837894421650412,0.05307300013273296,0.05554606400703596,0.05118973584707364,0.060183287710100196,0.06194272350078546,0.009036760529188366,,,0.06772790969225652,0.1344892042606479,,0.12717951988301493,0.15629371617925705,0.055829084419425,0.08945549204667137,0.05238708804867097,
vowels,0.0282842712474619,0.0,0.025819888974716116,0.0,0.0,0.0,0.04320493798938567,0.0,0.0,0.011547005383792516,0.0,0.0,0.0,0.0,0.0,0.047609522856952316,0.02581988897471606,0.0,0.06191391873668904,0.06191391873668904,0.08640987597877146,0.06403124237432847,0.08082903768654762,0.010000000000000068
waveform,0.017320508075688773,0.0,0.017320508075688794,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.012583057392117916,0.0,0.0,0.0,0.0,0.017078251276599333,0.03915780041490244,0.012909944487358065,0.019148542155126767,0.009574271077563366,0.026299556396765827,0.06377042156569666,0.04716990566028301,0.028722813232690134,0.02081665999466133
wbc,0.026966043386110607,0.03070091069987607,0.09843624502353918,0.0539790224033682,0.05486977623469382,0.05486977623469382,0.1571428571428571,0.045231081026191666,0.03052602055465637,0.1138789788004986,0.08831045238765114,0.14723681749554188,0.03070091069987607,0.14887810960085102,0.0,0.11953049736352937,0.06616561878497475,0.0,0.07034458044986552,0.0818961481873932,0.05261325493833682,0.07108668961614098,0.04124869120784326,0.09070240507085317
