,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
internetads,0.023633107516775137,0.0,0.0008568561084260732,0.0,0.0,0.0,0.0244154579561617,0.0,0.0,0.04428581193699877,0.0,0.0,0.0,0.0,0.038881905149229234,0.03961405056310248,0.05438816360395564,0.017907787541886627,0.04318776750882039,0.010929647557956137,0.011358983127954045,0.004799618060556926,0.016280661405489845,0.004799618060556926,0.01520295293718196
ionosphere,0.005997895260429273,0.010464620115790376,0.016889548130189582,,0.021439602547963992,0.01609027089113527,0.023957060241869912,0.016095214975293752,0.010974502406288406,0.037663539712695,0.02517633047464664,0.005048962191189406,0.014425261051529794,,,0.012707658073950634,0.08376349082365168,0.010884575788016024,,0.007346331152936944,0.010373730144063798,0.0028281048001287707,0.004506341378442298,0.004012684795466387,
landsat,0.025434437199183403,0.0,0.002967012132486345,0.0,0.0,0.0,0.001458543530546386,0.0,0.0,0.037610517866164206,0.0,0.0641044310769278,0.0,0.0,0.022558601366086988,0.015323977402821211,0.08785224525537742,0.014141796510724638,0.041110711653021145,0.013466103128467839,0.03841126334135765,0.004965937882252498,0.03894838691347034,0.0013812278987085332,0.032958669343923296
letter,0.018081367942350685,0.0,0.006070299278728659,,0.0,0.0,0.011523831667301315,0.0,0.0,0.0073017582864728005,0.0,0.04689481626568754,0.0,,,0.03369436726197994,0.0978119061903641,0.004297410072745376,,0.006478573231129756,0.009294296140146412,0.011840357226843266,0.0053797204939097145,0.008852014627358155,
lymphography,0.0030719740862170863,0.0,0.00023063379913544727,,0.0022685088013860498,0.0017775200840796815,0.030827505590704376,0.0020073023502503733,0.0008471376236338452,0.15328583922449376,0.008121267786502847,0.005923340451121794,0.000597206241748373,,,0.0030640710632976764,0.06185112988999419,0.03736280210083024,,0.03386310754581646,0.01059728258206142,0.0,0.0035383091569302183,0.0,
magic.gamma,0.01410383086595014,0.0,3.7000101833349375e-05,0.0,0.0,0.0,0.005212679077011527,0.0,0.0,0.015665156717169913,0.0,0.001417820788331456,0.0,0.0,0.023064543795809824,0.00946413583930108,0.045896837563314835,0.00839980656795785,0.02418307723578222,0.012621039740118568,0.005863775886470734,0.0037133503741638364,0.017534744895360783,0.008908465989887246,0.0032994095593518306
mammography,0.0030613927827094285,0.0,0.0002637352816628659,0.0,0.0,0.0,0.0037945269493424184,0.0,0.0,0.010019433320889963,0.0,0.005157567410863319,0.0,0.0,0.03373480244470117,0.09198849903569874,0.025887275086613964,0.011217780173647456,0.03628785069996227,0.023332760286262546,0.022509053779080045,0.02929424588881139,0.020866820127282516,0.02962615488348889,0.010646334496135482
mnist,0.02268492595219332,0.0,0.002575697455099319,0.0,0.0,0.0,0.0030484757785791848,0.0,0.0,0.08936199623248361,0.0,0.01183154712207398,0.0,0.0,0.07053943087106856,0.07953337356409801,0.06944862199602415,0.018948009608802305,0.07469033343604081,0.031053496871600642,0.03591046409455035,0.012302027732823627,0.012081033202608766,0.012302027732823627,0.010167709866725652
musk,0.04177628559775999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392944599679614,0.0,0.029205139224892165,0.0,0.0,0.015929336450414645,0.0,0.016376126563330973,0.0,0.016428720643653732,0.0,0.0,0.007165912925089858,0.0,0.007165912925089858,0.0
optdigits,0.030677099899832923,0.0,0.018368358180527573,0.0,0.0,0.0,0.0056908437736447924,0.0,0.0,0.09937927890705861,0.0,0.010580881711620466,0.0,0.0,0.0860414865682573,0.20235828604585598,0.16681626406369052,0.07049150723106441,0.09782805777702658,0.054341684946693725,0.016565655398400065,0.008999573867534845,0.030553301563882404,0.008519914831946866,0.02418656440296266
